readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
contig-125_6	CP000140.1	435591	27851887	0	28283	179566	1
contig-125_5	CP000140.1	435591	6473079	0	9563	180111	1
contig-125_4	CP000140.1	435591	13146882	0	7961	205226	1
contig-125_11	CP000140.1	435591	5959665	0	5454	155202	1
contig-125_10	CP000140.1	435591	9269256	0	13948	155934	1
contig-125_22	CP000140.1	435591	2747403	0	3740	108004	1
contig-125_24	CP000140.1	435591	10194799	0	12327	102284	1
contig-125_14	CP013195.1	76123	1681	0	56	130149	1
contig-125_3	CP000140.1	435591	2708568	0	3739	206471	1
contig-125_23	CP013195.1	76123	2930	0	94	105193	1
contig-125_25	FQ312004.1	862962	6535600	5017154	5104	102105	1
contig-125_18	CP000140.1	435591	6578118	0	8577	118135	1
contig-125_28	CP000140.1	435591	6963906	0	15635	87938	1
contig-125_15	CP000140.1	435591	9394174	0	10083	128377	1
contig-125_19	CP000140.1	435591	4706829	0	4778	115021	1
contig-125_29	CP000140.1	435591	7805892	0	15721	87780	1
contig-125_31	CP000140.1	435591	2296219	0	3432	85901	1
contig-125_1	CP000140.1	435591	30933690	0	17696	323027	1
contig-125_7	CP013195.1	76123	3481	0	74	176637	1
contig-125_12	CP000140.1	435591	9203872	0	16385	140309	1
contig-125_27	CP000140.1	435591	2284249	0	3284	97576	1
contig-125_35	LN877293.1	817	12114170	9811946	4584	81166	1
contig-125_8	CP000140.1	435591	10452425	0	7230	170565	1
contig-125_16	CP000140.1	435591	14455896	0	19693	123714	1
contig-125_2	CP000140.1	435591	14144072	0	13909	274510	1
contig-125_21	FQ312004.1	862962	1600	0	55	109033	1
contig-125_32	CP015401.1	1796613	36443	0	835	83659	1
contig-125_37	CP000140.1	435591	2763154	0	3781	79474	1
contig-125_26	CP003667.1	575614	1681	0	56	99302	1
contig-125_30	CP013195.1	76123	1636	0	107	87733	1
contig-125_33	CP000140.1	435591	3334470	0	4115	82136	1
contig-125_40	CP000140.1	435591	4137437	0	4598	74102	1
contig-125_39	CP000140.1	435591	2728828	0	3735	74989	1
contig-125_36	CP013195.1	76123	7577	0	153	79670	1
contig-125_44	CP000140.1	435591	2524871	0	3606	68232	1
contig-125_47	CP000140.1	435591	8387076	0	5753	62987	1
contig-125_42	CP000140.1	435591	3438418	0	4207	70172	1
contig-125_52	AP006841.1	295405	14897882	9711822	6215	57516	1
contig-125_55	CP000140.1	435591	3492436	0	4177	56533	1
contig-125_38	CP000140.1	435591	4950023	0	4698	76141	1
contig-125_46	CP012075.1	1236517	369	0	57	65293	1
contig-125_43	AE015928.1	226186	6198557	0	7912	69045	1
contig-125_45	CP000140.1	435591	6094870	0	8055	68071	1
contig-125_50	CP003368.1	908937	544	0	62	60392	1
contig-125_51	CP000140.1	435591	2463063	0	3462	58731	1
contig-125_49	CP003369.1	908937	550	0	85	61595	1
contig-125_34	CP000140.1	435591	5608328	0	7996	81997	1
contig-125_54	CP002006.1	264731	4624	0	83	56928	1
contig-125_48	CP000139.1	435590	2601	0	66	62617	1
contig-125_17	CP002122.1	553174	4996	0	170	120882	1
contig-125_60	CP000140.1	435591	2755964	398980	7142	52815	1
contig-125_53	CP002006.1	264731	757	0	65	57213	1
contig-125_58	CP008741.1	357276	5547	1681	170	54673	1
contig-125_57	CP002006.1	264731	2916	0	69	55329	1
contig-125_70	LN877293.1	817	11862840	0	7283	43231	1
contig-125_68	LN877293.1	817	5696487	0	5774	45089	1
contig-125_41	CP003368.1	908937	893	0	96	73604	1
contig-125_63	CP003369.1	908937	1412	0	174	51060	1
contig-125_13	CP000140.1	435591	3643479	0	4246	133283	1
contig-125_64	CP000140.1	435591	7253053	0	5370	50836	1
contig-125_67	CP000140.1	435591	3062005	0	5808	47843	1
contig-125_59	CP000140.1	435591	3601681	0	4240	53882	1
contig-125_66	AP006841.1	295405	15404049	6567003	6636	47896	1
contig-125_77	AP006841.1	295405	11262645	0	5214	36974	1
contig-125_72	CP002530.1	667015	400	0	35	42062	1
contig-125_80	LN877293.1	817	4753942	0	3769	36018	1
contig-125_79	AP006841.1	295405	11401510	4046618	7155	36333	1
contig-125_65	CP015401.1	1796613	3481	0	74	48587	1
contig-125_62	CP000140.1	435591	1290530	0	2597	52422	1
contig-125_20	CP002006.1	264731	625	0	86	111402	1
contig-125_56	CP003368.1	908937	769	0	134	55724	1
contig-125_74	FQ312004.1	862962	12656	0	327	37529	1
contig-125_75	CP011073.1	817	3792098	1807910	2620	37207	1
contig-125_73	CP011073.1	817	14292627	5157441	6070	41482	1
contig-125_78	AP006841.1	295405	7244801	0	4672	36569	1
contig-125_85	LN877293.1	817	10020852	4968866	6003	33424	1
contig-125_76	CP012074.1	1236517	2704	0	67	36987	1
contig-125_83	CP001071.1	349741	415516	0	6807	33833	1
contig-125_91	CR626927.1	272559	9173469	9037657	5351	31538	1
contig-125_84	CP000140.1	435591	675059	0	1808	33552	1
contig-125_61	CP015401.1	1796613	1313	0	81	52688	1
contig-125_86	CP001071.1	349741	7462	5260	381	33248	1
contig-125_96	CR626927.1	272559	9603994	4160698	6145	28717	1
contig-125_87	CP012706.1	817	4623525	3266057	3003	32979	1
contig-125_98	FQ312004.1	862962	7675546	3519635	5496	28531	1
contig-125_97	LN877293.1	817	3576582	3307889	3668	28538	1
contig-125_82	CP000140.1	435591	261238	0	1175	33889	1
contig-125_95	CP002530.1	667015	202	196	50	29664	1
contig-125_69	CP015409.1	239935	4605	0	202	43818	1
contig-125_89	AP006841.1	295405	4856271	2174969	5377	32346	1
contig-125_71	CP006938.2	93220	676	0	41	42133	1
contig-125_99	CP001071.1	349741	16798	0	522	28483	1
contig-125_81	CP002006.1	264731	3600	0	75	33994	1
contig-125_102	FQ312004.1	862962	6236083	0	4897	28281	1
contig-125_104	CR626927.1	272559	4161091	2318153	3925	27982	1
contig-125_105	CP011073.1	817	7483105	3471809	5760	27603	1
contig-125_101	CP003368.1	908937	289	0	32	28353	1
contig-125_88	CP011279.1	93218	361	361	34	32509	3
contig-125_88	CP010518.3	93218	361	361	34	32509	3
contig-125_88	CP011501.1	93218	361	361	34	32509	3
contig-125_90	CP013195.1	76123	3844	0	77	31714	1
contig-125_111	CR626927.1	272559	5284681	0	3281	26596	1
contig-125_107	CP013195.1	76123	825	0	113	27168	1
contig-125_92	FQ312004.1	862962	1932100	0	1405	31297	1
contig-125_114	LN877293.1	817	9138356	5520227	5159	25817	1
contig-125_93	CP003369.1	908937	821	0	117	30936	1
contig-125_115	CP011073.1	817	4208885	2590934	3406	25699	1
contig-125_94	CP002352.1	693979	961	0	46	29729	1
contig-125_103	CP000140.1	435591	1810099	0	3042	28232	1
contig-125_106	CP000140.1	435591	1185064	0	2491	27184	1
contig-125_113	CP015401.1	1796613	373057	188570	1100	25961	1
contig-125_108	AP006841.1	295405	2536279	2483721	2991	26971	1
contig-125_116	CP011073.1	817	25703579	0	11348	25514	1
contig-125_119	FQ312004.1	862962	11754090	7177041	4602	25280	1
contig-125_100	CP003368.1	908937	2403	0	241	28357	1
contig-125_109	FQ312004.1	862962	5075343	3582037	4956	26940	1
contig-125_122	CR626927.1	272559	4910656	3366787	2231	24667	1
contig-125_110	CP011073.1	817	12044028	0	5976	26884	1
contig-125_112	CP011073.1	817	4575401	4533677	3041	26060	1
contig-125_117	CR626927.1	272559	7156991	2937013	5980	25467	1
contig-125_120	CP002544.1	709991	17562	0	351	25245	1
contig-125_118	CP012937.1	818	1868095	0	2952	25429	1
contig-125_131	FQ312004.1	862962	14694389	4522814	8266	23340	1
contig-125_124	CP001071.1	349741	7450	2113	152	24631	1
contig-125_127	CP001071.1	349741	4639	0	295	24343	1
contig-125_134	FQ312004.1	862962	3582892	134837	4065	22656	1
contig-125_128	CP000140.1	435591	3444750	0	3887	24251	1
contig-125_139	LN877293.1	817	5612161	0	2384	21989	1
contig-125_137	AE015928.1	226186	1953268	0	4671	22178	1
contig-125_138	AE015928.1	226186	9177225	0	9533	22094	1
contig-125_125	CR626927.1	272559	1408786	574525	2053	24614	1
contig-125_130	LN877293.1	817	1658349	1224625	2920	23460	1
contig-125_133	AP006841.1	295405	7175449	0	6167	22805	1
contig-125_143	FQ312004.1	862962	2854491	2684395	3686	21615	1
contig-125_121	CP015409.1	239935	29716	15711	525	24765	1
contig-125_142	CP012706.1	817	19337234	2721088	7284	21705	1
contig-125_123	CP015409.1	239935	9149	5945	206	24654	1
contig-125_129	CP000140.1	435591	19974	0	389	24246	1
contig-125_140	CP000140.1	435591	1193443	0	2508	21744	1
contig-125_145	CP000140.1	435591	1739103	0	3008	21493	1
contig-125_126	CP002530.1	667015	3346	0	137	24609	1
contig-125_147	FQ312004.1	862962	5171588	2941138	2960	21413	1
contig-125_132	FQ312004.1	862962	265	0	53	23046	1
contig-125_141	CP001071.1	349741	7202	6214	216	21735	1
contig-125_135	CP012938.1	28116	4489	4489	82	22560	2
contig-125_135	LT622246.1	1379690	4489	4489	82	22560	2
contig-125_146	CP001071.1	349741	88993	87702	1380	21475	1
contig-125_151	AE015928.1	226186	713704	0	1883	21256	1
contig-125_136	CP015409.1	239935	36726	32863	908	22190	1
contig-125_144	CP011073.1	817	19579024	5104609	4898	21589	1
contig-125_158	FQ312004.1	862962	4192955	3231377	2841	20874	1
contig-125_153	CP015409.1	239935	1927	1571	145	21168	1
contig-125_156	CP013195.1	76123	1125	121	94	20938	1
contig-125_148	CR626927.1	272559	7018034	6378019	3492	21363	1
contig-125_150	AP006841.1	295405	2744693	2355035	2772	21345	1
contig-125_161	CP002122.1	553174	169	0	28	20732	1
contig-125_157	CP011073.1	817	3772298	2932834	3692	20932	1
contig-125_155	CP012706.1	817	5148685	3697155	3203	20972	1
contig-125_154	AP006841.1	295405	4974435	1792114	3772	21123	1
contig-125_163	CP001071.1	349741	2518	0	179	20620	1
contig-125_152	CP011073.1	817	4056755	3216994	3567	21174	1
contig-125_159	CR626927.1	272559	3981194	3469370	3349	20866	1
contig-125_149	CP013909.1	1411621	313	0	55	21355	1
contig-125_167	CP011073.1	817	7143002	0	4362	20314	1
contig-125_168	CP012937.1	818	515187	148996	1493	20305	1
contig-125_166	LN877293.1	817	4710514	4429541	2692	20341	1
contig-125_165	CP015401.1	1796613	1521	922	54	20444	1
contig-125_160	CP001071.1	349741	22334	18844	511	20738	1
contig-125_164	CP011073.1	817	2667911	0	3233	20488	1
contig-125_172	LN877293.1	817	2684610	1189464	3830	20092	1
contig-125_176	CP003368.1	908937	949	0	119	19920	1
contig-125_170	CP001896.1	572477	324	324	33	20226	2
contig-125_170	CP002589.1	767031	324	324	33	20226	2
contig-125_181	AE015928.1	226186	6556759	0	5250	19666	1
contig-125_171	CP001071.1	349741	3722	0	162	20141	1
contig-125_162	CP015409.1	239935	5764	5016	356	20682	1
contig-125_179	CP015409.1	239935	7211	1444	225	19770	1
contig-125_186	AE015928.1	226186	2681416	0	3493	19100	1
contig-125_183	CP001071.1	349741	6411	841	215	19185	1
contig-125_173	CP011073.1	817	2827509	748225	2780	20043	1
contig-125_174	CP000140.1	435591	1168495	0	2484	20032	1
contig-125_169	CP001071.1	349741	17869	7433	260	20270	1
contig-125_187	FQ312004.1	862962	10542003	1640961	4248	19031	1
contig-125_175	LN877293.1	817	14326225	0	3800	19956	1
contig-125_177	FQ312004.1	862962	4076156	0	3573	19880	1
contig-125_178	CP012937.1	818	498458	0	1389	19859	1
contig-125_180	CP011073.1	817	3579845	0	2317	19675	1
contig-125_185	LN877293.1	817	5518418	715716	4674	19113	1
contig-125_189	FQ312004.1	862962	3746777	1925181	3060	18896	1
contig-125_190	AE015928.1	226186	13600587	0	7626	18705	1
contig-125_191	CP000140.1	435591	1154407	0	2424	18270	1
