name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	597442	1	0	0.0
Myxococcales	29	order	9744470	2	0	0.0
Archangium gephyra	48	species	12489432	2	1	0.0
Chondromyces crocatus	52	species	11388132	1	1	0.0
Leptospira	171	genus	4723963	1	0	0.0
Leptospira interrogans	173	species	5299843	2	2	0.0
Azospirillum brasilense	192	species	13978806	1	1	0.0
Campylobacter coli	195	species	1776238	11	2	0.0
Campylobacter jejuni	197	species	2514629	3	0	0.0
Campylobacter lari	201	species	1578293	1	1	0.0
Helicobacter pylori	210	species	1701646	3	3	0.0
Brucella	234	genus	4039663	1	0	0.0
Elizabethkingia meningoseptica	238	species	7877884	4	2	0.0
Chryseobacterium indologenes	253	species	5314748	3	3	0.0
Paracoccus	265	genus	5054656	1	0	0.0
Pseudomonas	286	genus	6365698	5	1	0.0
Pseudomonas aeruginosa	287	species	6506218	5	2	0.0
Burkholderia cepacia	292	species	7851492	6	1	0.0
Pseudomonas fluorescens	294	species	6526868	14	6	0.0
Pseudomonas putida	303	species	6153951	10	3	0.0
Ralstonia solanacearum	305	species	5733935	8	2	0.0
Pseudomonas stutzeri	316	species	4548207	9	4	0.0
Pseudomonas syringae	317	species	8219822	2	1	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	1	0	0.0
Xanthomonas	338	genus	12713482	2	1	0.0
Xanthomonas campestris pv. campestris	340	leaf	14898506	1	0	0.0
Xanthomonas citri	346	species	20452658	2	0	0.0
Xanthomonas oryzae	347	species	18255134	3	3	0.0
Rhizobiales	356	order	5094675	3	0	0.0
Agrobacterium tumefaciens	358	species	7273300	7	1	0.0
Agrobacterium rhizogenes	359	species	5114384	2	0	0.0
Bradyrhizobium japonicum	375	species	9207384	4	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Rhizobium	379	genus	7014378	4	2	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Sinorhizobium meliloti	382	species	6995610	1	1	0.0
Rhizobium leguminosarum	384	species	7129833	6	4	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	3	1	0.0
Rhizobium phaseoli	396	species	87841097	13	0	0.0
Methylobacterium extorquens	408	species	6163878	5	2	0.0
Acetobacter aceti	435	species	3725037	3	1	0.0
Acetobacter pasteurianus	438	species	3251215	1	0	0.0
Legionella pneumophila	446	species	6271085	2	2	0.0
Legionella longbeachae	450	species	4149158	2	1	0.0
Acinetobacter baumannii	470	species	4003240	14	2	0.0
Acinetobacter calcoaceticus	471	species	8244977	1	1	0.0
Neisseria	482	genus	2222002	1	0	0.0
Neisseria gonorrhoeae	485	species	2209297	2	0	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Neisseria meningitidis	487	species	2222288	15	1	0.0
Neisseria sicca	490	species	2783913	6	4	0.0
Neisseria elongata	495	species	2256647	1	0	0.0
Kingella kingae	504	species	2140065	1	0	0.0
Alcaligenes faecalis	511	species	4248684	2	1	0.0
Bordetella	517	genus	4292418	1	0	0.0
Bordetella bronchiseptica	518	species	5231793	2	1	0.0
Bordetella parapertussis	519	species	4836562	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	4	1	0.0
Zymomonas mobilis	542	species	2426073	1	1	0.0
Enterobacteriaceae	543	family	6592311	1	0	0.0
Citrobacter freundii	546	species	5371331	5	3	0.0
