name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	3	2	0.0
Azorhizobium caulinodans	7	species	5369772	2	0	0.0
Buchnera aphidicola	9	species	597442	14	7	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Shewanella	22	genus	5140018	1	0	0.0
Myxococcales	29	order	9744470	4	0	0.0
Myxococcus	32	genus	9885694	1	0	0.0
Archangiaceae	39	family	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	42	24	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Chondromyces crocatus	52	species	11388132	17	9	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Caulobacter	75	genus	4238499	2	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Planctomyces	118	genus	0	1	0	0.0
Isosphaera	127	genus	5529304	1	0	0.0
Spirochaetales	136	order	1871325	1	0	0.0
Borrelia	138	genus	1132250	2	0	0.0
Borreliella burgdorferi	139	species	1329613	11	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Leptospira interrogans	173	species	5299843	14	7	0.0
Azospirillum	191	genus	7223069	1	0	0.0
Azospirillum brasilense	192	species	13978806	26	5	0.0
Azospirillum lipoferum	193	species	7223069	2	0	0.0
Campylobacter	194	genus	2174417	2	1	0.0
Campylobacter coli	195	species	1776238	90	25	0.0
Campylobacter fetus	196	species	1876301	10	4	0.0
Campylobacter jejuni	197	species	2514629	83	29	0.0
Campylobacter concisus	199	species	2099413	9	6	0.0
Campylobacter lari	201	species	1578293	8	0	0.0
Helicobacter	209	genus	1716896	1	0	0.0
Helicobacter pylori	210	species	1701646	56	25	0.0
Helicobacter felis	214	species	1672681	1	0	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Achromobacter	222	genus	6724596	1	0	0.0
Alteromonas	226	genus	4602720	2	0	0.0
Brucella	234	genus	4039663	12	6	0.0
Elizabethkingia meningoseptica	238	species	7877884	52	8	0.0
Chryseobacterium indologenes	253	species	5314748	40	26	0.0
Francisella tularensis	263	species	2819748	26	13	0.0
Francisella tularensis subsp. novicida	264	subspecies	3841706	6	0	0.0
Comamonas	283	genus	5695231	1	0	0.0
Comamonas testosteroni	285	species	5695231	2	0	0.0
Pseudomonas	286	genus	6365698	24	3	0.0
Pseudomonas aeruginosa	287	species	6506218	66	29	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	7851492	25	6	0.0
Pseudomonas fluorescens	294	species	6526868	58	18	0.0
Pseudomonas fragi	296	species	5101809	6	4	0.0
Pseudomonas putida	303	species	6153951	25	10	0.0
Ralstonia solanacearum	305	species	5733935	39	11	0.0
Pseudomonas stutzeri	316	species	4548207	39	8	0.0
Pseudomonas syringae	317	species	8219822	6	2	0.0
Ralstonia pickettii	329	species	6378979	1	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	3	0	0.0
Burkholderia glumae	337	species	7333967	1	0	0.0
Xanthomonas	338	genus	12713482	6	0	0.0
Xanthomonas campestris	339	species	7516154	8	4	0.0
Xanthomonas campestris pv. campestris	340	leaf	14898506	8	0	0.0
Xanthomonas citri	346	species	20452658	8	1	0.0
Xanthomonas oryzae	347	species	18255134	11	3	0.0
Azotobacter	352	genus	5311796	1	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Azotobacter vinelandii	354	species	5351632	6	0	0.0
Rhizobiales	356	order	5094675	15	0	0.0
Agrobacterium	357	genus	6422834	1	0	0.0
Agrobacterium tumefaciens	358	species	7273300	22	4	0.0
Agrobacterium rhizogenes	359	species	5114384	9	6	0.0
Agrobacterium vitis	373	species	6320946	2	0	0.0
Bradyrhizobium	374	genus	11894480	2	0	0.0
Bradyrhizobium japonicum	375	species	9207384	23	4	0.0
Bradyrhizobium sp.	376	species	7547693	7	3	0.0
Rhizobium	379	genus	7014378	9	4	0.0
Sinorhizobium meliloti	382	species	6995610	4	1	0.0
Rhizobium leguminosarum	384	species	7129833	25	5	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	28	12	0.0
Rhizobium phaseoli	396	species	87841097	20	5	0.0
Rhizobium tropici	398	species	6686334	1	0	0.0
Neorhizobium galegae	399	species	6434105	1	0	0.0
Methylobacterium	407	genus	6566159	3	0	0.0
Methylobacterium extorquens	408	species	6163878	10	4	0.0
Acetobacter	434	genus	3251215	1	0	0.0
Acetobacter aceti	435	species	3725037	12	4	0.0
Acetobacter pasteurianus	438	species	3251215	7	1	0.0
Gluconobacter oxydans	442	species	3207017	6	3	0.0
Legionella pneumophila	446	species	6271085	48	13	0.0
Legionella hackeliae	449	species	3570857	8	7	0.0
Legionella longbeachae	450	species	4149158	13	8	0.0
Tatlockia micdadei	451	species	3310028	4	2	0.0
Moraxellaceae	468	family	3830921	1	0	0.0
Acinetobacter	469	genus	4007180	1	0	0.0
Acinetobacter baumannii	470	species	4003240	85	17	0.0
Acinetobacter calcoaceticus	471	species	8244977	23	8	0.0
Moraxella catarrhalis	480	species	1863286	5	3	0.0
Neisseria	482	genus	2222002	4	0	0.0
Neisseria gonorrhoeae	485	species	2209297	23	1	0.0
Neisseria lactamica	486	species	2220606	7	2	0.0
Neisseria meningitidis	487	species	2222288	37	8	0.0
Neisseria sicca	490	species	2783913	14	8	0.0
Psychrobacter	497	genus	2875899	1	0	0.0
Kingella kingae	504	species	2140065	8	6	0.0
Alcaligenaceae	506	family	4189059	1	0	0.0
Alcaligenes faecalis	511	species	4248684	8	4	0.0
Bordetella	517	genus	4292418	3	0	0.0
Bordetella bronchiseptica	518	species	5231793	16	6	0.0
Bordetella parapertussis	519	species	4836562	8	0	0.0
Bordetella pertussis	520	species	4098210	12	2	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	7	1	0.0
Enterobacteriaceae	543	family	6592311	8	0	0.0
Citrobacter koseri	545	species	4735357	8	0	0.0
Citrobacter freundii	546	species	5371331	30	10	0.0
Enterobacter	547	genus	6476723	6	1	0.0
Klebsiella aerogenes	548	species	5435727	22	3	0.0
Pantoea agglomerans	549	species	9924054	14	5	0.0
Enterobacter cloacae	550	species	5160721	45	10	0.0
Erwinia	551	genus	4250482	1	0	0.0
Erwinia amylovora	552	species	3869718	1	0	0.0
Pantoea ananatis	553	species	4838981	14	2	0.0
Pectobacterium carotovorum	554	species	6131477	2	0	0.0
Escherichia coli	562	species	7155203	183	45	0.0
Hafnia alvei	569	species	4712721	23	11	0.0
Klebsiella	570	genus	7968846	5	0	0.0
Klebsiella oxytoca	571	species	6684898	128	9	0.0
Klebsiella pneumoniae	573	species	8336208	288	68	0.0
Morganella morganii	582	species	3799539	8	0	0.0
Proteus mirabilis	584	species	3973324	39	4	0.0
Proteus vulgaris	585	species	3794983	11	2	0.0
Providencia rettgeri	587	species	4889093	13	9	0.0
Providencia stuartii	588	species	4402109	50	7	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	24898721	4	0	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	14120769	1	0	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	97441747	4	0	0.0
Serratia	613	genus	4999631	13	0	0.0
Serratia liquefaciens	614	species	5282719	14	2	0.0
Serratia marcescens	615	species	5133167	68	9	0.0
Shigella	620	genus	4794388	1	0	0.0
Shigella boydii	621	species	4760589	6	0	0.0
Shigella flexneri	623	species	4787214	6	0	0.0
Shigella sonnei	624	species	5137894	9	0	0.0
Yersinia	629	genus	5890257	2	0	0.0
Yersinia enterocolitica	630	species	4754304	45	9	0.0
Yersinia intermedia	631	species	4859749	7	2	0.0
Yersinia pestis	632	species	5868073	210	25	0.0
Yersinia pseudotuberculosis	633	species	7671089	20	2	0.0
Edwardsiella	635	genus	3906392	5	0	0.0
Edwardsiella tarda	636	species	3766483	8	4	0.0
Aeromonas	642	genus	4891101	5	0	0.0
Aeromonas hydrophila	644	species	4927671	42	12	0.0
Aeromonas schubertii	652	species	4400034	4	4	0.0
Aeromonas veronii	654	species	4551783	25	5	0.0
Vibrio	662	genus	5226443	2	0	0.0
Vibrio alginolyticus	663	species	5146637	10	2	0.0
Vibrio cholerae	666	species	4424841	25	16	0.0
Vibrio harveyi	669	species	17991217	36	11	0.0
Vibrio parahaemolyticus	670	species	5172800	48	24	0.0
Vibrio vulnificus	672	species	5131516	31	5	0.0
Grimontia hollisae	673	species	3998273	5	5	0.0
Vibrio mimicus	674	species	8922704	14	9	0.0
