name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	4	4	0.0
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Buchnera aphidicola	9	species	597442	10	6	0.0
Shewanella	22	genus	5140018	1	1	0.0
Myxococcales	29	order	9744470	7	0	0.0
Myxococcaceae	31	family	9924679	1	0	0.0
Myxococcus	32	genus	9885694	3	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	35	20	0.0
Chondromyces crocatus	52	species	11388132	15	11	0.0
Sorangium cellulosum	56	species	13907952	2	0	0.0
Caulobacter	75	genus	4238499	1	0	0.0
Hyphomicrobium	81	genus	3700497	1	0	0.0
Runella slithyformis	106	species	6919729	1	0	0.0
Isosphaera	127	genus	5529304	1	0	0.0
Borrelia	138	genus	1132250	2	0	0.0
Borreliella burgdorferi	139	species	1329613	8	0	0.0
Leptospira interrogans	173	species	5299843	18	10	0.0
Azospirillum	191	genus	7223069	3	0	0.0
Azospirillum brasilense	192	species	13978806	46	18	0.0
Azospirillum lipoferum	193	species	7223069	2	0	0.0
Campylobacter	194	genus	2174417	3	1	0.0
Campylobacter coli	195	species	1776238	83	17	0.0
Campylobacter fetus	196	species	1876301	11	8	0.0
Campylobacter jejuni	197	species	2514629	71	34	0.0
Campylobacter concisus	199	species	2099413	4	3	0.0
Campylobacter lari	201	species	1578293	9	2	0.0
Helicobacter pylori	210	species	1701646	43	25	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Achromobacter	222	genus	6724596	1	0	0.0
Alteromonas	226	genus	4602720	1	0	0.0
Brucella	234	genus	4039663	12	6	0.0
Flavobacterium	237	genus	3461015	1	0	0.0
Elizabethkingia meningoseptica	238	species	7877884	61	10	0.0
Chryseobacterium indologenes	253	species	5314748	33	26	0.0
Francisella tularensis	263	species	2819748	16	6	0.0
Francisella tularensis subsp. novicida	264	subspecies	3841706	8	3	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Comamonas	283	genus	5695231	2	0	0.0
Comamonas testosteroni	285	species	5695231	1	0	0.0
Pseudomonas	286	genus	6365698	36	9	0.0
Pseudomonas aeruginosa	287	species	6506218	77	23	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	7851492	29	7	0.0
Pseudomonas fluorescens	294	species	6526868	71	22	0.0
Pseudomonas fragi	296	species	5101809	7	2	0.0
Pseudomonas putida	303	species	6153951	36	11	0.0
Ralstonia solanacearum	305	species	5733935	63	13	0.0
Pseudomonas stutzeri	316	species	4548207	45	7	0.0
Pseudomonas syringae	317	species	8219822	7	3	0.0
Ralstonia pickettii	329	species	6378979	3	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	4	0	0.0
Xanthomonas	338	genus	12713482	5	1	0.0
Xanthomonas campestris	339	species	7516154	8	3	0.0
Xanthomonas campestris pv. campestris	340	leaf	14898506	11	2	0.0
Xanthomonas translucens	343	species	4638247	2	0	0.0
Xanthomonas citri	346	species	20452658	7	0	0.0
Xanthomonas oryzae	347	species	18255134	12	4	0.0
Azotobacter	352	genus	5311796	2	0	0.0
Azotobacter vinelandii	354	species	5351632	9	0	0.0
Rhizobiales	356	order	5094675	16	0	0.0
Agrobacterium	357	genus	6422834	2	0	0.0
Agrobacterium tumefaciens	358	species	7273300	25	5	0.0
Agrobacterium rhizogenes	359	species	5114384	10	6	0.0
Bradyrhizobium	374	genus	11894480	1	0	0.0
Bradyrhizobium japonicum	375	species	9207384	28	3	0.0
Bradyrhizobium sp.	376	species	7547693	15	4	0.0
Rhizobium	379	genus	7014378	15	8	0.0
Sinorhizobium meliloti	382	species	6995610	9	6	0.0
Rhizobium leguminosarum	384	species	7129833	29	9	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	22	10	0.0
Rhizobium phaseoli	396	species	87841097	29	4	0.0
Neorhizobium galegae	399	species	6434105	1	0	0.0
Methylobacterium	407	genus	6566159	4	0	0.0
Methylobacterium extorquens	408	species	6163878	16	11	0.0
Acetobacteraceae	433	family	3449890	1	0	0.0
Acetobacter	434	genus	3251215	1	0	0.0
Acetobacter aceti	435	species	3725037	12	7	0.0
Acetobacter pasteurianus	438	species	3251215	8	7	0.0
Gluconobacter oxydans	442	species	3207017	6	1	0.0
Legionella	445	genus	5805085	1	0	0.0
Legionella pneumophila	446	species	6271085	24	11	0.0
Legionella hackeliae	449	species	3570857	10	8	0.0
Legionella longbeachae	450	species	4149158	12	4	0.0
Tatlockia micdadei	451	species	3310028	10	7	0.0
Moraxellaceae	468	family	3830921	1	0	0.0
Acinetobacter baumannii	470	species	4003240	102	21	0.0
Acinetobacter calcoaceticus	471	species	8244977	35	11	0.0
Moraxella	475	genus	1863286	2	0	0.0
Moraxella catarrhalis	480	species	1863286	12	5	0.0
Neisseria	482	genus	2222002	4	0	0.0
Neisseria gonorrhoeae	485	species	2209297	26	4	0.0
Neisseria lactamica	486	species	2220606	6	1	0.0
Neisseria meningitidis	487	species	2222288	36	9	0.0
Neisseria sicca	490	species	2783913	9	6	0.0
Kingella kingae	504	species	2140065	5	4	0.0
Alcaligenes faecalis	511	species	4248684	3	2	0.0
Bordetella	517	genus	4292418	3	0	0.0
Bordetella bronchiseptica	518	species	5231793	17	5	0.0
Bordetella parapertussis	519	species	4836562	12	0	0.0
Bordetella pertussis	520	species	4098210	15	4	0.0
Ochrobactrum anthropi	529	species	5205777	10	1	0.0
Chromobacterium violaceum	536	species	4751080	1	0	0.0
Zymomonas	541	genus	2426073	1	0	0.0
Zymomonas mobilis	542	species	2426073	2	1	0.0
Enterobacteriaceae	543	family	6592311	15	0	0.0
Citrobacter koseri	545	species	4735357	10	1	0.0
Citrobacter freundii	546	species	5371331	31	8	0.0
Enterobacter	547	genus	6476723	9	2	0.0
