"","act.cog","ID"
"1","COG0004","Ammonia permease"
"2","COG0028","Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]"
"3","COG0119","Isopropylmalate/homocitrate/citramalate synthases"
"4","COG0235","Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases"
"5","COG0246","Mannitol-1-phosphate/altronate dehydrogenases"
"6","COG0372","Citrate synthase"
"7","COG0395","ABC-type sugar transport system, permease component"
"8","COG0407","Uroporphyrinogen-III decarboxylase"
"9","COG0448","ADP-glucose pyrophosphorylase"
"10","COG0456","Acetyltransferases"
"11","COG0554","Glycerol kinase"
"12","COG0561","Predicted hydrolases of the HAD superfamily"
"13","COG0675","Transposase and inactivated derivatives"
"14","COG0722","3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase"
"15","COG0745","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"16","COG0855","Polyphosphate kinase"
"17","COG1026","Predicted Zn-dependent peptidases, insulinase-like"
"18","COG1051","ADP-ribose pyrophosphatase"
"19","COG1061","DNA or RNA helicases of superfamily II"
"20","COG1070","Sugar (pentulose and hexulose) kinases"
"21","COG1104","Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes"
"22","COG1105","Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)"
"23","COG1122","ABC-type cobalt transport system, ATPase component"
"24","COG1131","ABC-type multidrug transport system, ATPase component"
"25","COG1132","ABC-type multidrug transport system, ATPase and permease components"
"26","COG1134","ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
"27","COG1136","ABC-type antimicrobial peptide transport system, ATPase component"
"28","COG1161","Predicted GTPases"
"29","COG1164","Oligoendopeptidase F"
"30","COG1175","ABC-type sugar transport systems, permease components"
"31","COG1191","DNA-directed RNA polymerase specialized sigma subunit"
"32","COG1196","Chromosome segregation ATPases"
"33","COG1302","Uncharacterized protein conserved in bacteria"
"34","COG1307","Uncharacterized protein conserved in bacteria"
"35","COG1349","Transcriptional regulators of sugar metabolism"
"36","COG1453","Predicted oxidoreductases of the aldo/keto reductase family"
"37","COG1461","Predicted kinase related to dihydroxyacetone kinase"
"38","COG1472","Beta-glucosidase-related glycosidases"
"39","COG1486","Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases"
"40","COG1501","Alpha-glucosidases, family 31 of glycosyl hydrolases"
"41","COG1511","Predicted membrane protein"
"42","COG1609","Transcriptional regulators"
"43","COG1621","Beta-fructosidases (levanase/invertase)"
