"","cog.uniq"
"1","COG0001"
"2","COG0002"
"3","COG0003"
"4","COG0004"
"5","COG0005"
"6","COG0006"
"7","COG0007"
"8","COG0008"
"9","COG0009"
"10","COG0010"
"11","COG0012"
"12","COG0013"
"13","COG0014"
"14","COG0015"
"15","COG0016"
"16","COG0017"
"17","COG0018"
"18","COG0019"
"19","COG0020"
"20","COG0021"
"21","COG0022"
"22","COG0023"
"23","COG0024"
"24","COG0025"
"25","COG0026"
"26","COG0027"
"27","COG0028"
"28","COG0029"
"29","COG0030"
"30","COG0031"
"31","COG0033"
"32","COG0034"
"33","COG0035"
"34","COG0036"
"35","COG0037"
"36","COG0038"
"37","COG0039"
"38","COG0040"
"39","COG0041"
"40","COG0042"
"41","COG0043"
"42","COG0044"
"43","COG0045"
"44","COG0046"
"45","COG0047"
"46","COG0048"
"47","COG0049"
"48","COG0050"
"49","COG0051"
"50","COG0052"
"51","COG0053"
"52","COG0054"
"53","COG0055"
"54","COG0056"
"55","COG0057"
"56","COG0058"
"57","COG0059"
"58","COG0060"
"59","COG0061"
"60","COG0062"
"61","COG0063"
"62","COG0064"
"63","COG0065"
"64","COG0066"
"65","COG0067"
"66","COG0068"
"67","COG0069"
"68","COG0070"
"69","COG0071"
"70","COG0072"
"71","COG0073"
"72","COG0074"
"73","COG0075"
"74","COG0076"
"75","COG0077"
"76","COG0078"
"77","COG0079"
"78","COG0080"
"79","COG0081"
"80","COG0082"
"81","COG0083"
"82","COG0084"
"83","COG0085"
"84","COG0086"
"85","COG0087"
"86","COG0088"
"87","COG0089"
"88","COG0090"
"89","COG0091"
"90","COG0092"
"91","COG0093"
"92","COG0094"
"93","COG0095"
"94","COG0096"
"95","COG0097"
"96","COG0098"
"97","COG0099"
"98","COG0100"
"99","COG0101"
"100","COG0102"
"101","COG0103"
"102","COG0104"
"103","COG0105"
"104","COG0106"
"105","COG0107"
"106","COG0108"
"107","COG0110"
"108","COG0111"
"109","COG0112"
"110","COG0113"
"111","COG0114"
"112","COG0115"
"113","COG0116"
"114","COG0117"
"115","COG0118"
"116","COG0119"
"117","COG0120"
"118","COG0121"
"119","COG0122"
"120","COG0123"
"121","COG0124"
"122","COG0125"
"123","COG0126"
"124","COG0127"
"125","COG0128"
"126","COG0129"
"127","COG0130"
"128","COG0131"
"129","COG0132"
"130","COG0133"
"131","COG0134"
"132","COG0135"
"133","COG0136"
"134","COG0137"
"135","COG0138"
"136","COG0139"
"137","COG0141"
"138","COG0142"
"139","COG0143"
"140","COG0144"
"141","COG0147"
"142","COG0148"
"143","COG0149"
"144","COG0150"
"145","COG0151"
"146","COG0152"
"147","COG0153"
"148","COG0154"
"149","COG0155"
"150","COG0156"
"151","COG0157"
"152","COG0158"
"153","COG0159"
"154","COG0160"
"155","COG0161"
"156","COG0162"
"157","COG0163"
"158","COG0164"
"159","COG0165"
"160","COG0166"
"161","COG0167"
"162","COG0168"
"163","COG0169"
"164","COG0171"
"165","COG0172"
"166","COG0173"
"167","COG0174"
"168","COG0175"
"169","COG0176"
"170","COG0177"
"171","COG0178"
"172","COG0179"
"173","COG0180"
"174","COG0181"
"175","COG0182"
"176","COG0183"
"177","COG0184"
"178","COG0185"
"179","COG0186"
"180","COG0187"
"181","COG0188"
"182","COG0189"
"183","COG0190"
"184","COG0191"
"185","COG0192"
"186","COG0193"
"187","COG0194"
"188","COG0195"
"189","COG0196"
"190","COG0197"
"191","COG0198"
"192","COG0199"
"193","COG0200"
"194","COG0201"
"195","COG0202"
"196","COG0203"
"197","COG0204"
"198","COG0205"
"199","COG0206"
"200","COG0207"
"201","COG0208"
"202","COG0209"
"203","COG0210"
"204","COG0211"
"205","COG0212"
"206","COG0213"
"207","COG0214"
"208","COG0215"
"209","COG0216"
"210","COG0217"
"211","COG0218"
"212","COG0219"
"213","COG0220"
"214","COG0221"
"215","COG0222"
"216","COG0223"
"217","COG0224"
"218","COG0225"
"219","COG0226"
"220","COG0227"
"221","COG0228"
"222","COG0229"
"223","COG0230"
"224","COG0231"
"225","COG0232"
"226","COG0233"
"227","COG0234"
"228","COG0235"
"229","COG0236"
"230","COG0237"
"231","COG0238"
"232","COG0239"
"233","COG0240"
"234","COG0241"
"235","COG0242"
"236","COG0243"
"237","COG0244"
"238","COG0245"
"239","COG0246"
"240","COG0247"
"241","COG0248"
"242","COG0249"
"243","COG0250"
"244","COG0251"
"245","COG0252"
"246","COG0253"
"247","COG0254"
"248","COG0255"
"249","COG0256"
"250","COG0257"
"251","COG0258"
"252","COG0259"
"253","COG0260"
"254","COG0261"
"255","COG0262"
"256","COG0263"
"257","COG0264"
"258","COG0265"
"259","COG0266"
"260","COG0267"
"261","COG0268"
"262","COG0269"
"263","COG0270"
"264","COG0271"
"265","COG0272"
"266","COG0274"
"267","COG0275"
"268","COG0276"
"269","COG0277"
"270","COG0279"
"271","COG0280"
"272","COG0281"
"273","COG0282"
"274","COG0283"
"275","COG0284"
"276","COG0285"
"277","COG0286"
"278","COG0287"
"279","COG0288"
"280","COG0289"
"281","COG0290"
"282","COG0291"
"283","COG0292"
"284","COG0293"
"285","COG0294"
"286","COG0295"
"287","COG0296"
"288","COG0297"
"289","COG0298"
"290","COG0299"
"291","COG0300"
"292","COG0301"
"293","COG0302"
"294","COG0303"
"295","COG0304"
"296","COG0305"
"297","COG0306"
"298","COG0307"
"299","COG0308"
"300","COG0309"
"301","COG0310"
"302","COG0311"
"303","COG0312"
"304","COG0313"
"305","COG0314"
"306","COG0315"
"307","COG0316"
"308","COG0317"
"309","COG0318"
"310","COG0319"
"311","COG0320"
"312","COG0321"
"313","COG0322"
"314","COG0323"
"315","COG0324"
"316","COG0325"
"317","COG0326"
"318","COG0327"
"319","COG0328"
"320","COG0329"
"321","COG0330"
"322","COG0331"
"323","COG0332"
"324","COG0333"
"325","COG0334"
"326","COG0335"
"327","COG0336"
"328","COG0337"
"329","COG0338"
"330","COG0339"
"331","COG0340"
"332","COG0341"
"333","COG0342"
"334","COG0343"
"335","COG0344"
"336","COG0345"
"337","COG0346"
"338","COG0347"
"339","COG0348"
"340","COG0349"
"341","COG0350"
"342","COG0351"
"343","COG0352"
"344","COG0353"
"345","COG0354"
"346","COG0355"
"347","COG0356"
"348","COG0357"
"349","COG0358"
"350","COG0359"
"351","COG0360"
"352","COG0361"
"353","COG0362"
"354","COG0363"
"355","COG0364"
"356","COG0365"
"357","COG0366"
"358","COG0367"
"359","COG0368"
"360","COG0369"
"361","COG0370"
"362","COG0371"
"363","COG0372"
"364","COG0373"
"365","COG0374"
"366","COG0375"
"367","COG0377"
"368","COG0378"
"369","COG0379"
"370","COG0380"
"371","COG0381"
"372","COG0382"
"373","COG0383"
"374","COG0385"
"375","COG0386"
"376","COG0388"
"377","COG0389"
"378","COG0390"
"379","COG0391"
"380","COG0392"
"381","COG0393"
"382","COG0394"
"383","COG0395"
"384","COG0396"
"385","COG0398"
"386","COG0399"
"387","COG0400"
"388","COG0402"
"389","COG0403"
"390","COG0404"
"391","COG0405"
"392","COG0406"
"393","COG0407"
"394","COG0409"
"395","COG0410"
"396","COG0411"
"397","COG0412"
"398","COG0413"
"399","COG0414"
"400","COG0416"
"401","COG0417"
"402","COG0418"
"403","COG0419"
"404","COG0420"
"405","COG0421"
"406","COG0422"
"407","COG0423"
"408","COG0424"
"409","COG0425"
"410","COG0426"
"411","COG0427"
"412","COG0428"
"413","COG0429"
"414","COG0430"
"415","COG0431"
"416","COG0432"
"417","COG0433"
"418","COG0434"
"419","COG0436"
"420","COG0437"
"421","COG0438"
"422","COG0439"
"423","COG0440"
"424","COG0441"
"425","COG0442"
"426","COG0443"
"427","COG0444"
"428","COG0445"
"429","COG0446"
"430","COG0447"
"431","COG0448"
"432","COG0449"
"433","COG0450"
"434","COG0451"
"435","COG0452"
"436","COG0455"
"437","COG0456"
"438","COG0457"
"439","COG0458"
"440","COG0459"
"441","COG0460"
"442","COG0461"
"443","COG0462"
"444","COG0463"
"445","COG0464"
"446","COG0465"
"447","COG0466"
"448","COG0467"
"449","COG0468"
"450","COG0469"
"451","COG0471"
"452","COG0472"
"453","COG0473"
"454","COG0474"
"455","COG0475"
"456","COG0476"
"457","COG0478"
"458","COG0479"
"459","COG0480"
"460","COG0481"
"461","COG0482"
"462","COG0483"
"463","COG0484"
"464","COG0486"
"465","COG0488"
"466","COG0489"
"467","COG0490"
"468","COG0491"
"469","COG0492"
"470","COG0493"
"471","COG0494"
"472","COG0495"
"473","COG0496"
