Metabolism,30891
Metabolism: Carbohydrate metabolism,8804
Metabolism: NRG metabolism,2965
Metabolism: Lipid metabolism,1868
Metabolism: Nucleotide metabolism,3051
Metabolism: AA metabolism,5240
Metabolism: Other AA metabolism,1037
Metabolism: Glycan,1882
Metabolism: Cofactors and vitamins,3200
Metabolism: Terpenoids and polyketides,728
Metabolism: 2dary metabolites,1523
Metabolism: Xenobiotics,590
Metabolism: Enzyme families,3
Genetic Information Processing,6540
Genetic Information Processing: Transcription,213
Genetic Information Processing: Tranlation,2889
Genetic Information Processing: Fold sort degr,1235
Genetic Information Processing: Replication and repair,2203
Environ Info Process,4069
Environ Info Process: Membrane transport,1529
Environ Info Process: Signal transduction,2532
Environ Info Process: Signal molec and interact,8
Other,9453
