Length,Frequency
4324,1
28929,1
4329,1
14201,1
9798,1
2230,1
2232,1
2233,1
2234,1
43237,1
12117,1
17583,1
3932,1
72269,1
3934,1
3936,1
6421,1
6425,1
13815,1
1840,1
6427,1
1841,1
1842,1
1845,1
4331,1
4333,1
23058,1
11728,1
83617,1
2240,1
2241,1
2243,1
2248,1
2249,1
3942,1
8529,1
3946,1
6431,1
6432,1
18409,1
1851,2
1852,1
16310,1
1854,1
1855,2
4346,1
14227,1
2252,1
2254,1
2257,1
2259,1
8535,1
3950,1
3952,1
10049,1
25160,1
6440,1
3959,1
6442,1
6446,1
1860,2
1862,1
1865,1
1866,1
1867,1
1868,2
1869,2
4354,1
4358,1
143479,1
2261,1
2262,1
2263,1
2266,2
2267,1
2268,1
2269,1
39895,1
3966,1
6453,1
6458,1
20592,1
1871,2
1873,1
1878,1
30246,1
4366,1
14246,1
40782,1
2275,1
2277,1
36524,1
2279,1
24780,1
10061,1
10062,1
500,5
3970,1
501,5
502,8
8558,1
503,7
3973,1
504,9
505,6
506,11
507,7
3977,1
508,12
509,10
6462,1
32348,1
1881,1
1882,1
1883,1
1885,1
1886,1
1887,2
4370,1
4371,1
4373,1
14253,1
2280,1
26884,1
2283,1
2285,1
2288,1
12162,1
510,10
511,10
87841,1
512,8
513,9
514,11
515,13
1000,2
516,12
1001,4
517,8
1002,1
518,8
1003,1
519,6
1004,1
25191,1
1005,2
1006,1
1007,1
157339,1
1008,3
6474,1
1009,1
6476,1
1890,1
1892,1
1895,1
1897,1
4381,1
4386,1
11779,1
2704,1
2705,1
2706,1
2707,1
2291,2
2293,1
2295,1
2297,1
2298,1
3100,1
3103,1
3104,1
3105,1
3106,1
520,4
521,10
3990,1
522,9
523,6
524,10
525,13
1010,2
526,6
10089,1
527,11
1012,1
528,8
1013,1
529,7
18455,1
1015,1
6481,1
1016,3
1017,4
6483,1
1018,2
1019,1
4390,1
4808,1
4393,1
2712,1
5200,1
2719,1
5205,1
50467,1
3111,2
10501,1
3114,1
39049,1
3115,1
10504,1
3119,1
10092,1
530,9
531,6
25620,1
532,11
533,8
534,10
1020,2
535,13
1021,2
536,9
1022,1
537,5
1023,1
538,10
1024,1
539,11
6907,1
1025,2
1026,1
1027,2
1028,4
1029,1
6497,1
2720,1
11798,1
2721,1
2725,1
2727,1
2728,1
2729,1
5214,1
12195,1
118689,1
10512,1
3124,1
3125,1
8590,1
3127,1
3128,1
540,9
44123,1
541,8
542,8
543,5
6910,1
544,8
1030,3
545,9
1031,3
546,6
1032,2
547,5
1033,3
548,9
1034,2
549,5
1035,1
1036,3
1037,2
1038,1
138876,1
1039,3
9407,1
4820,1
4825,1
4827,1
14702,1
7317,1
21451,1
14298,1
2739,1
12612,1
5227,1
5229,1
3134,2
3136,1
3139,1
550,6
551,9
552,6
553,9
554,10
555,8
1040,2
556,5
557,9
1042,2
558,6
1043,1
559,5
1045,1
6928,1
1046,2
1047,3
1048,2
1049,1
4830,1
4832,1
4836,1
7320,1
2741,1
2742,1
2744,1
2745,1
2746,1
3140,1
10533,1
3148,1
3149,1
560,8
561,7
562,7
563,11
564,6
565,7
1050,2
566,9
1051,3
567,5
6934,1
1052,1
568,6
1053,1
569,9
1054,5
1055,2
1056,2
6939,1
1058,2
1059,3
4844,1
4848,1
7338,1
2751,1
2756,1
3150,1
3153,1
3159,1
570,8
571,5
572,11
573,6
574,3
1060,2
575,6
1061,3
576,6
1062,2
577,7
1063,3
578,4
1064,2
579,8
1065,3
1066,1
1067,3
1068,3
19312,1
19316,1
33225,1
7344,1
2761,1
2764,1
2767,1
2768,1
5251,1
5256,1
5258,1
10553,1
3165,1
580,7
581,7
276573,1
582,6
583,5
584,8
1070,2
585,2
1071,1
586,9
1072,2
587,10
1073,3
588,4
589,8
1075,3
1076,1
1077,2
1078,1
1079,2
4862,1
4867,1
21900,1
7354,1
2771,1
2774,1
2776,1
2777,1
2779,1
5261,1
39513,1
5267,1
12658,1
53423,1
15141,1
22307,1
3172,1
3175,1
3176,1
3177,1
590,5
591,5
592,9
593,7
594,5
595,5
596,9
1081,1
597,6
6964,1
1082,2
598,3
1083,3
599,6
1084,2
1085,2
1086,4
6969,1
1087,2
1088,1
1089,1
9453,1
9457,1
4873,1
4874,1
23598,1
4877,1
7366,1
2782,1
2783,1
2785,1
2789,1
5272,1
5279,1
3181,1
1500,2
1502,1
1503,2
1505,2
1507,2
1090,2
1508,1
1091,3
6974,1
1509,1
1092,1
1093,1
6976,1
1094,1
1095,1
1097,2
1098,2
1099,2
16856,1
4884,1
4888,1
14766,1
7378,1
2792,1
2793,1
2795,1
17255,1
12673,1
3600,1
3601,1
3602,1
3604,1
15166,1
3191,1
10583,1
3195,1
3197,1
1510,1
1511,1
1513,2
1514,1
1517,1
28601,1
44197,1
6984,1
1519,2
6986,1
32869,1
4002,1
30771,1
4890,1
19351,1
4897,1
7381,1
7385,1
55542,1
5701,1
5704,1
5292,1
5293,1
12684,1
5298,1
3612,1
3616,1
3617,1
6100,1
3619,1
6104,1
1524,2
1525,1
6991,1
1526,1
18967,1
1527,2
1528,1
1529,1
4014,1
11405,1
4018,1
7805,1
7390,1
7397,1
5712,1
84584,1
3622,1
3626,1
6110,1
3629,1
6111,1
6115,1
1530,1
1531,1
1532,1
20254,1
1533,2
1534,1
13094,1
1536,1
9900,1
1537,1
1538,2
11413,1
9495,1
71562,1
7818,1
5720,1
31198,1
22353,1
3632,1
3639,1
6125,1
6126,1
1541,2
1543,1
1544,1
1545,1
1546,1
1547,1
1548,2
16008,1
4034,1
42545,1
4038,1
17290,1
24453,1
5737,1
178461,1
8222,1
3640,1
3642,1
3645,1
6130,1
44645,1
1551,1
1552,1
1553,1
1555,1
1556,1
1557,1
1558,2
1559,1
9923,1
11432,1
4044,1
11439,1
21971,1
7838,1
19398,1
5740,1
5743,1
55586,1
5744,1
5747,1
5749,1
8233,1
3652,1
3653,1
3657,1
6141,1
1560,2
1562,1
1563,1
1565,1
1566,2
1568,1
1569,1
4051,1
9934,1
4055,1
7845,1
67339,1
5755,1
5758,1
15638,1
3663,1
3666,1
6150,1
6153,1
13545,1
1571,2
1573,2
1574,2
1578,1
4065,1
4066,1
4068,1
76185,1
17733,1
5764,1
5768,1
200,15
8256,1
201,5
202,9
203,15
204,7
205,11
3674,1
206,8
207,5
208,7
209,17
3678,1
75794,1
6166,1
1580,1
