COG	3715	3717	3723	3733	3734	3744	3772	3773	3775
COG0001	14	38	39	46	60	41	19	35	59
COG0002	65	125	111	96	184	130	83	117	106
COG0003	6	9	3	5	12	6	5	13	25
COG0004	25	54	28	30	87	65	27	74	79
COG0005	71	112	99	111	129	116	88	110	109
COG0006	156	242	200	233	358	260	184	298	298
COG0007	13	33	36	31	54	34	18	29	52
COG0008	203	337	345	343	525	384	267	394	353
COG0009	98	153	135	159	204	171	116	178	135
COG0010	23	32	29	36	38	29	31	36	20
COG0011	0	2	3	3	8	4	3	2	10
COG0012	76	168	132	167	255	196	133	212	164
COG0013	156	268	248	282	414	346	207	370	298
COG0014	48	99	98	88	196	115	52	107	121
COG0015	84	152	118	152	246	182	108	183	146
COG0016	79	152	132	140	228	173	119	181	153
COG0017	124	197	173	176	322	239	150	283	222
COG0018	115	206	181	220	342	231	167	279	185
COG0019	136	220	209	221	342	261	170	261	218
COG0020	71	128	126	143	185	165	110	159	140
COG0021	118	152	132	140	188	158	144	206	137
COG0022	16	18	31	33	40	22	24	22	40
COG0023	28	35	30	43	30	39	30	30	18
COG0024	101	164	135	158	254	200	136	232	162
COG0025	5	17	6	4	30	20	6	10	13
COG0026	12	18	13	10	16	23	15	18	17
COG0027	50	54	49	43	56	52	34	55	37
COG0028	120	254	215	226	493	314	147	341	276
COG0029	100	132	103	123	158	143	102	158	110
COG0030	76	147	126	143	234	161	110	186	143
COG0031	70	130	115	119	251	184	81	178	156
COG0033	6	9	7	14	3	5	12	11	4
COG0034	140	195	170	203	332	271	138	246	243
COG0035	68	97	91	102	146	116	79	117	95
COG0036	66	135	114	134	246	160	112	188	165
COG0037	114	191	183	196	318	242	169	247	231
COG0038	84	117	92	115	145	128	86	114	103
COG0039	71	136	102	121	168	140	81	138	122
COG0040	40	65	52	56	127	77	41	82	76
COG0041	57	97	91	92	145	103	60	100	102
COG0042	100	183	169	183	248	202	152	250	178
COG0043	7	6	12	16	23	12	16	13	33
COG0044	109	181	182	201	318	200	126	203	249
COG0045	6	14	11	12	8	9	11	9	6
COG0046	123	178	171	189	339	218	145	229	195
COG0047	40	52	72	72	141	86	47	98	73
COG0048	59	106	83	87	161	127	77	129	100
COG0049	61	109	96	96	163	134	90	131	98
COG0050	86	167	154	168	263	190	155	212	177
COG0051	57	103	80	100	131	113	80	106	86
COG0052	64	119	101	116	173	134	113	152	121
COG0053	57	124	121	106	203	145	78	135	143
COG0054	46	69	54	64	71	76	49	69	51
COG0055	82	147	128	145	223	180	125	181	147
COG0056	75	144	125	157	213	179	115	186	135
COG0057	86	155	158	160	265	185	143	202	160
COG0058	142	245	228	263	512	310	196	370	272
COG0059	50	93	79	82	164	98	62	93	100
COG0060	171	277	248	308	471	343	234	410	302
COG0061	66	105	90	105	155	115	70	121	104
COG0062	26	30	31	47	74	44	24	68	50
COG0063	50	89	91	99	144	110	68	112	104
COG0064	32	93	62	70	133	110	65	120	108
COG0065	62	135	123	112	208	133	91	148	170
COG0066	44	82	63	61	121	83	47	75	97
