,AA,CBM,CE,GH,GT,PL,SLH,Total,Assembler,Season
3715 idba,299,555,1105,4688,3032,377,9,10065,IDBA,Summer
3715 spades,205,375,817,3049,2168,206,6,6826,SPAdes,Summer
3717 idba,546,887,1820,6855,5214,489,89,15900,IDBA,Summer
3717 spades,389,644,1460,4928,4156,358,49,11984,SPAdes,Summer
3723 idba,475,679,1385,5138,3805,296,480,12258,IDBA,Winter
3723 spades,311,454,1036,2927,2687,167,280,7862,SPAdes,Winter
3733 idba,515,714,1507,5117,4189,252,202,12496,IDBA,Winter
3733 spades,330,449,1060,3031,2959,175,82,8086,SPAdes,Winter
3734 idba,687,1219,2313,9278,5777,419,760,20453,IDBA,Spring
3734 spades,378,649,1496,4328,3509,171,317,10848,SPAdes,Spring
3744 idba,570,1041,2060,7768,4982,528,248,17197,IDBA,Summer
3744 spades,384,583,1522,4465,3546,283,97,10880,SPAdes,Summer
3772 idba,407,555,1033,3632,3014,222,202,9065,IDBA,Winter
3772 spades,276,374,806,2237,2204,147,122,6166,SPAdes,Winter
3773 idba,553,851,1753,7302,4308,425,193,15385,IDBA,Spring
3773 spades,334,470,1196,3873,2814,206,101,8994,SPAdes,Spring
3775 idba,604,856,1937,7086,3822,344,313,14962,IDBA,Spring
3775 spades,380,513,1314,3962,2644,197,152,9162,SPAdes,Spring
