"","Season","Family","Mean","SD","SE"
"1","Summer","Abitibacteriaceae",0,0,0
"2","Summer","Acaryochloridaceae",0,0,0
"3","Summer","Acetobacteraceae",0.235733671603889,0.177838749272095,0.10267524976459
"4","Summer","Acholeplasmataceae",0.0157853372405314,0.0141796526939533,0.00818662629986935
"5","Summer","Acidaminococcaceae",0.0882430676494973,0.121651353518361,0.0702354417011079
"6","Summer","Acidobacteriaceae",0.00434602084136267,0.00406698945023999,0.00234807745388743
"7","Summer","Actinomycetaceae",0.014395410897201,0.0128954841180459,0.00744521122688436
"8","Summer","Aerococcaceae",0.0141259717818828,0.0137396574809767,0.00793259494521513
"9","Summer","Aeromonadaceae",0.0015246459009895,0.00264076416406543,0.0015246459009895
"10","Summer","Akkermansiaceae",0.854309321403328,0.185522249950686,0.107111320949694
"11","Summer","Alcaligenaceae",0.00789266862026571,0.00708982634697666,0.00409331314993468
"12","Summer","Alcanivoracaceae",0.00331873091729723,0.00574821056540846,0.00331873091729723
"13","Summer","Alicyclobacillaceae",0.0015246459009895,0.00264076416406543,0.0015246459009895
"14","Summer","Alteromonadaceae",0.0062333031616171,0.00694648809147678,0.00401055676953665
"15","Summer","Anaerohalosphaeraceae",0,0,0
"16","Summer","Anaerolineaceae",0.0206287140588181,0.0178972740281186,0.0103329959778947
"17","Summer","Anaeroplasmataceae",0.0227764912108957,0.0238664284316801,0.0137792888796255
"18","Summer","Anaplasmataceae",0,0,0
"19","Summer","Aphanothecaceae",0.0015246459009895,0.00264076416406543,0.0015246459009895
"20","Summer","Apusomonadidae",0,0,0
"21","Summer","Archangiaceae",0,0,0
"22","Summer","Ardenticatenaceae",0,0,0
"23","Summer","Aspergillaceae",0.00318401135963811,0.00276482952674556,0.00159627507152998
"24","Summer","Atopobiaceae",0.0309801212001921,0.0143695826958688,0.00829628243760242
"25","Summer","Aurantimonadaceae",0.00703267622407673,0.00825403101965682,0.00476546703109839
"26","Summer","Babesiidae",0.00268665538271406,0.00465342362528916,0.00268665538271406
"27","Summer","Bacillaceae",0.218605675393472,0.110836387863443,0.0639914183689649
"28","Summer","Bacillales Family X. Incertae Sedis",0.00165936545864861,0.00287410528270423,0.00165936545864861
"29","Summer","Bacteroidaceae",16.3545792344522,6.55420571329886,3.78407243289728
"30","Summer","Balneicellaceae",0,0,0
"31","Summer","Balneolaceae",0,0,0
"32","Summer","Barnesiellaceae",0.327716566757455,0.0462501492362977,0.0267025361116368
"33","Summer","Bartonellaceae",0,0,0
"34","Summer","Bathycoccaceae",0.00165936545864861,0.00287410528270423,0.00165936545864861
"35","Summer","Bifidobacteriaceae",0.0676131450776524,0.0478597729087783,0.0276318527722375
"36","Summer","Bodonidae",0.00434602084136267,0.00406698945023999,0.00234807745388743
"37","Summer","Botryosphaeriaceae",0,0,0
"38","Summer","Brachyspiraceae",0.0529796645223237,0.0285458166676242,0.0164809349372905
"39","Summer","Bradyrhizobiaceae",0,0,0
"40","Summer","Brucellaceae",0,0,0
"41","Summer","Budviciaceae",0,0,0
"42","Summer","Burkholderiaceae",0.00753003220100078,0.00272997982486399,0.00157615458676747
"43","Summer","Caedimonadaceae",0,0,0
"44","Summer","Cafeteriaceae",0.00165936545864861,0.00287410528270423,0.00165936545864861
"45","Summer","Caldicoprobacteraceae",0.00318401135963811,0.00276482952674556,0.00159627507152998
"46","Summer","Calotrichaceae",0,0,0
"47","Summer","Campylobacteraceae",0.0105793240029798,0.00288189992345988,0.00166386569658712
"48","Summer","Candidatus Borkfalkiaceae",0.0474626899157414,0.00796740797823911,0.00459998514097992
"49","Summer","Candidatus Brocadiaceae",0.0015246459009895,0.00264076416406543,0.0015246459009895
"50","Summer","Candidatus Competibacteraceae",0,0,0
"51","Summer","Candidatus Cryosericaceae",0,0,0
"52","Summer","Candidatus Termititenacaceae",0.00165936545864861,0.00287410528270423,0.00165936545864861
"53","Summer","Cardiobacteriaceae",0,0,0
"54","Summer","Carnobacteriaceae",0.0326720646290581,0.0089162302012081,0.00514778790682417
"55","Summer","Catabacteriaceae",0.00318401135963811,0.00276482952674556,0.00159627507152998
"56","Summer","Catalimonadaceae",0.00434602084136267,0.00406698945023999,0.00234807745388743
"57","Summer","Catenulisporaceae",0.0015246459009895,0.00264076416406543,0.0015246459009895
"58","Summer","Caulobacteraceae",0.00304929180197899,0.00528152832813087,0.00304929180197899
"59","Summer","Cavosteliaceae",0,0,0
"60","Summer","Celerinatantimonadaceae",0,0,0
"61","Summer","Cellulomonadaceae",0.0150600644020016,0.00545995964972799,0.00315230917353495
"62","Summer","Cellvibrionaceae",0.0047086572606276,0.00457988582699222,0.00264419831507171
