"","Season","Genus","Mean","SD","SE"
"1","Summer","Abditibacterium",0,0,0
"2","Summer","Absiella",0.00905467810199028,0.000951542503669195,0.00054937332063878
"3","Summer","Acaryochloris",0,0,0
"4","Summer","Acetanaerobacterium",0.0015246459009895,0.00264076416406543,0.0015246459009895
"5","Summer","Acetatifactor",0.141030592444195,0.110106405634251,0.0635699629324369
"6","Summer","Acetitomaculum",0.00165936545864861,0.00287410528270423,0.00165936545864861
"7","Summer","Acetivibrio",0.019136646128046,0.00467981320228911,0.00270189141209878
"8","Summer","Acetobacter",0.214045089650788,0.186183688892792,0.107493202900971
"9","Summer","Acetobacterium",0.0062333031616171,0.00694648809147678,0.00401055676953665
"10","Summer","Acetobacteroides",0.00318401135963811,0.00276482952674556,0.00159627507152998
"11","Summer","Acetohalobium",0.00165936545864861,0.00287410528270423,0.00165936545864861
"12","Summer","Acetomicrobium",0.00165936545864861,0.00287410528270423,0.00165936545864861
"13","Summer","Acholeplasma",0.0157853372405314,0.0141796526939533,0.00818662629986935
"14","Summer","Achromobacter",0.0015246459009895,0.00264076416406543,0.0015246459009895
"15","Summer","Acidaminobacter",0,0,0
"16","Summer","Acidaminococcus",0.00587066674235217,0.00190672755641179,0.00110084966796562
"17","Summer","Acidiphilium",0.0141585497521002,0.0126096866199141,0.00728020596440422
"18","Summer","Acidobacterium",0,0,0
"19","Summer","Acinetobacter",0.0132749236691889,0.0229928422616338,0.0132749236691889
"20","Summer","Acremonium",0,0,0
"21","Summer","Actinoallomurus",0,0,0
"22","Summer","Actinobacillus",0.0015246459009895,0.00264076416406543,0.0015246459009895
"23","Summer","Actinobaculum",0,0,0
"24","Summer","Actinokineospora",0.0015246459009895,0.00264076416406543,0.0015246459009895
"25","Summer","Actinomadura",0,0,0
"26","Summer","Actinomyces",0.0047086572606276,0.00457988582699222,0.00264419831507171
"27","Summer","Actinoplanes",0.00304929180197899,0.00528152832813087,0.00304929180197899
"28","Summer","Actinotalea",0.0015246459009895,0.00264076416406543,0.0015246459009895
"29","Summer","Actinotignum",0.00318401135963811,0.00276482952674556,0.00159627507152998
"30","Summer","Acutalibacter",0.0273919511675766,0.0127087515929531,0.00733740115325556
"31","Summer","Adhaeribacter",0.00304929180197899,0.00528152832813087,0.00304929180197899
"32","Summer","Adlercreutzia",0.0432603329155329,0.0276033250141265,0.0159367871274347
"33","Summer","Aequorivita",0.0047086572606276,0.00457988582699222,0.00264419831507171
"34","Summer","Aeriscardovia",0,0,0
"35","Summer","Aerococcus",0.00304929180197899,0.00528152832813087,0.00304929180197899
"36","Summer","Aeromicrobium",0,0,0
"37","Summer","Aeromonas",0.0015246459009895,0.00264076416406543,0.0015246459009895
"38","Summer","Aestuariibacter",0.0015246459009895,0.00264076416406543,0.0015246459009895
"39","Summer","Aestuariimicrobium",0,0,0
"40","Summer","Agarivorans",0,0,0
"41","Summer","Agathobacter",0.00484337681828672,0.00498356214026199,0.00287726094320349
"42","Summer","Agathobaculum",0.0425968879237592,0.0581852479834056,0.0335932685860844
"43","Summer","Aggregatibacter",0.00165936545864861,0.00287410528270423,0.00165936545864861
"44","Summer","Agreia",0,0,0
"45","Summer","Agrobacterium",0,0,0
"46","Summer","Agromyces",0.00421130128370355,0.00404220143693167,0.00233376608773119
"47","Summer","Akkermansia",0.854309321403328,0.185522249950686,0.107111320949694
"48","Summer","Alcaligenes",0.0015246459009895,0.00264076416406543,0.0015246459009895
"49","Summer","Alcanivorax",0.00331873091729723,0.00574821056540846,0.00331873091729723
"50","Summer","Algibacter",0.00905467810199028,0.000951542503669195,0.00054937332063878
"51","Summer","Algicola",0,0,0
"52","Summer","Algoriphagus",0.00587066674235217,0.00190672755641179,0.00110084966796562
"53","Summer","Alicyclobacillus",0.0015246459009895,0.00264076416406543,0.0015246459009895
"54","Summer","Aliifodinibius",0,0,0
"55","Summer","Alistipes",2.99230787933261,0.771926531171646,0.445671990566564
"56","Summer","Alkalibacter",0,0,0
"57","Summer","Alkalibacterium",0.00905467810199028,0.000951542503669195,0.00054937332063878
"58","Summer","Alkalibaculum",0.00165936545864861,0.00287410528270423,0.00165936545864861
"59","Summer","Alkaliflexus",0.00304929180197899,0.00528152832813087,0.00304929180197899
"60","Summer","Alkaliphilus",0.0062333031616171,0.00694648809147678,0.00401055676953665
"61","Summer","Alkalispirochaeta",0.0015246459009895,0.00264076416406543,0.0015246459009895
"62","Summer","Alkalitalea",0.00165936545864861,0.00287410528270423,0.00165936545864861
"63","Summer","Allokutzneria",0,0,0
"64","Summer","Allonocardiopsis",0.0015246459009895,0.00264076416406543,0.0015246459009895
"65","Summer","Alloprevotella",0.0506051790216671,0.016992823948089,0.0098108114807211
"66","Summer","Alloscardovia",0.0015246459009895,0.00264076416406543,0.0015246459009895
"67","Summer","Altererythrobacter",0,0,0
"68","Summer","Alteromonas",0,0,0
"69","Summer","Alysiella",0,0,0
"70","Summer","Aminipila",0.0015246459009895,0.00264076416406543,0.0015246459009895
"71","Summer","Amphibacillus",0.00941731452125521,0.00915977165398445,0.00528839663014342
"72","Summer","Amphiplicatus",0.0015246459009895,0.00264076416406543,0.0015246459009895
"73","Summer","Amycolatopsis",0.00318401135963811,0.00276482952674556,0.00159627507152998
"74","Summer","Anaerobacillus",0,0,0
