"","Season","Phylum","Mean","SD","SE"
"1","Summer","Acidobacteria",0,0,0
"2","Summer","Actinobacteria",0.116959064327485,0.202579041820921,0.116959064327485
"3","Summer","Armatimonadetes",0.0764525993883792,0.132419786511382,0.0764525993883792
"4","Summer","Ascomycota",0.0764525993883792,0.132419786511382,0.0764525993883792
"5","Summer","Bacteroidetes",51.4133489867861,13.2248970779875,7.63539788798119
"6","Summer","Chlamydiae",0.0784313725490196,0.135847122162265,0.0784313725490196
"7","Summer","Chloroflexi",0,0,0
"8","Summer","Firmicutes",37.7232557919353,13.4045398743734,7.73911470483253
"9","Summer","Fusobacteria",0,0,0
"10","Summer","Lentisphaerae",0,0,0
"11","Summer","Planctomycetes",0,0,0
"12","Summer","Proteobacteria",1.51014160694054,0.49437850716708,0.285429564194479
"13","Summer","Spirochaetes",0.0764525993883792,0.132419786511382,0.0764525993883792
"14","Summer","Thermotogae",0.0764525993883792,0.132419786511382,0.0764525993883792
"15","Summer","Unclassified",7.61177543607174,0.683651359459174,0.394706296415607
"16","Summer","Verrucomicrobia",1.2402773438363,0.259389993659938,0.14975888266466
"17","Summer","Viruses",0,0,0
"18","Winter","Acidobacteria",0.0957854406130268,0.165905249767134,0.0957854406130268
"19","Winter","Actinobacteria",0.153609831029186,0.26606003188462,0.153609831029186
"20","Winter","Armatimonadetes",0,0,0
"21","Winter","Ascomycota",0,0,0
"22","Winter","Bacteroidetes",56.8480851740029,4.37726879617474,2.52721731778683
"23","Winter","Chlamydiae",0,0,0
"24","Winter","Chloroflexi",0,0,0
"25","Winter","Firmicutes",30.7688475270813,8.69780881018008,5.02168225791737
"26","Winter","Fusobacteria",0,0,0
"27","Winter","Lentisphaerae",0,0,0
"28","Winter","Planctomycetes",0.153609831029186,0.26606003188462,0.153609831029186
"29","Winter","Proteobacteria",0.90262856283072,0.827017764534816,0.477478928978779
"30","Winter","Spirochaetes",0.403005102671399,0.471587533847468,0.272271189613307
"31","Winter","Thermotogae",0,0,0
"32","Winter","Unclassified",9.29037401422177,3.01348891872696,1.73983863842696
"33","Winter","Verrucomicrobia",1.38405451652054,0.397765215188821,0.229649854063535
"34","Winter","Viruses",0,0,0
"35","Spring","Acidobacteria",0,0,0
"36","Spring","Actinobacteria",0,0,0
"37","Spring","Armatimonadetes",0,0,0
"38","Spring","Ascomycota",0,0,0
"39","Spring","Bacteroidetes",33.9664651272187,4.4734388465251,2.5827411222446
"40","Spring","Chlamydiae",0.0819000819000819,0.141855102994994,0.0819000819000819
"41","Spring","Chloroflexi",0.0769822940723634,0.133337244616542,0.0769822940723634
"42","Spring","Firmicutes",52.8398607701754,5.89426267929095,3.403054144563
"43","Spring","Fusobacteria",0.0616142945163278,0.106719088574792,0.0616142945163278
"44","Spring","Lentisphaerae",0.0616142945163278,0.106719088574792,0.0616142945163278
"45","Spring","Planctomycetes",0.0819000819000819,0.141855102994994,0.0819000819000819
"46","Spring","Proteobacteria",1.71219464504929,0.646652882563253,0.373345215820142
"47","Spring","Spirochaetes",0.200210883105019,0.186749612662961,0.107819939142019
"48","Spring","Thermotogae",0.0616142945163278,0.106719088574792,0.0616142945163278
"49","Spring","Unclassified",10.158499434624,1.14766163030673,0.662602751196194
"50","Spring","Verrucomicrobia",0.697143798406109,0.444645721287015,0.256716326879074
"51","Spring","Viruses",0,0,0
