file	percent	reads	taxon_id	taxon_name
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	3.233256	14	1898203	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	1.847575	8	397291	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	1.616628	7	1235799	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium MD308;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	1.385681	6	2486473	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	1.154734	5	820	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	1.154734	5	387661	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	1.154734	5	626930	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fluxus;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	0.923788	4	1262995	Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:646;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	0.923788	4	1263027	Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:534;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	0.692841	3	168384	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	0.692841	3	360807	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans;
/home/glbrc.org/echiang3/OG_metaG/kaiju/mucin/3775/3775.kaiju.output	0.692841	3	671267	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;
