"","Season","Genus","Mean","SD","SE"
"1","Summer","Clostridium",6.66666666666667,11.5470053837925,6.66666666666667
"2","Summer","Lactobacillus",15,13.228756555323,7.63762615825973
"3","Summer","Terrisporobacter",6.66666666666667,11.5470053837925,6.66666666666667
"4","Summer","Unclassified",71.6666666666667,30.1385688667085,17.4005108481843
"5","Summer","Viruses",0,0,0
"6","Winter","Clostridium",0,0,0
"7","Winter","Lactobacillus",0,0,0
"8","Winter","Terrisporobacter",0,0,0
"9","Winter","Unclassified",100,0,0
"10","Winter","Viruses",0,0,0
"11","Spring","Clostridium",16.6666666666667,28.8675134594813,16.6666666666667
"12","Spring","Lactobacillus",27.7777777777778,25.4587538608658,14.6986183948033
"13","Spring","Terrisporobacter",11.1111111111111,19.2450089729875,11.1111111111111
"14","Spring","Unclassified",44.4444444444444,9.62250448649377,5.55555555555556
"15","Spring","Viruses",0,0,0
