,3715,3717,3723,3733,3734,3744,3772,3773,3775
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,82.258064,67.368423,69.230774,69.444443,39.000000,50.000000,74.418602,58.666664,53.623188
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,11.290322,28.421053,26.153847,25.000000,47.000000,43.023254,11.627908,33.333336,40.579708
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,1.612903,0,0,1.388889,0,1.162791,2.325581,1.333333,1.449275
Bacteria;Actinobacteria;NA;NA;NA;NA;NA;,1.612903,0,0,0,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,1.612903,3.157895,1.538462,2.777778,5.000000,3.488372,4.651163,6.666667,1.449275
unclassified,1.612903,1.052632,3.076923,0.000000,6.000000,2.325581,4.651163,0.000000,2.898551
Bacteria;Spirochaetes;NA;NA;NA;NA;NA;,0,0,0,1.388889,1.000000,0,2.325581,0,0
Bacteria;Fusobacteria;NA;NA;NA;NA;NA;,0,0,0,0,1.000000,0,0,0,0
Bacteria;Lentisphaerae;NA;NA;NA;NA;NA;,0,0,0,0,1.000000,0,0,0,0
