"","Season","Genus","Mean","SD","SE"
"1","Summer","Acetatifactor",4.76190476190476,8.24786098842323,4.76190476190476
"2","Summer","Bacillus",5.71428571428571,5.15078753637713,2.9738085706659
"3","Summer","Bacteroides",40.9523809523809,1.64957219768464,0.952380952380951
"4","Summer","Odoribacter",3.33333333333333,5.77350269189626,3.33333333333333
"5","Summer","Paenibacillus",0,0,0
"6","Summer","Parabacteroides",12.3809523809524,6.75116518036087,3.89778703422498
"7","Summer","Ruminococcus",0,0,0
"8","Summer","Unclassified",32.8571428571429,6.22699849077239,3.59515925489083
"9","Summer","Viruses",0,0,0
"10","Winter","Acetatifactor",0,0,0
"11","Winter","Bacillus",0,0,0
"12","Winter","Bacteroides",49.4708994708995,6.36571926746877,3.67524973265868
"13","Winter","Odoribacter",6.08465608465608,5.63063403539491,3.25084807604352
"14","Winter","Paenibacillus",0,0,0
"15","Winter","Parabacteroides",9.41798941798942,2.04714731451356,1.18192105310522
"16","Winter","Ruminococcus",4.76190476190476,8.24786098842323,4.76190476190476
"17","Winter","Unclassified",30.2645502645503,9.00901445663186,5.20135692166963
"18","Winter","Viruses",0,0,0
"19","Spring","Acetatifactor",9.52380952380952,16.4957219768465,9.52380952380952
"20","Spring","Bacillus",4.76190476190476,8.24786098842323,4.76190476190476
"21","Spring","Bacteroides",50,7.14285714285714,4.12393049421161
"22","Spring","Odoribacter",0,0,0
"23","Spring","Paenibacillus",5.55555555555555,9.62250448649376,5.55555555555556
"24","Spring","Parabacteroides",4.76190476190476,8.24786098842323,4.76190476190476
"25","Spring","Ruminococcus",0,0,0
"26","Spring","Unclassified",25.3968253968254,9.91269523555301,5.72309726264125
"27","Spring","Viruses",0,0,0
