"","Season","Class","Mean","SD","SE"
"1","Summer","Bacilli",0,0,0
"2","Summer","Bacteroidia",46.7579196627104,11.895937510106,6.86812272372267
"3","Summer","Chitinophagia",0.476190476190476,0.824786098842322,0.476190476190476
"4","Summer","Clostridia",11.2330705478068,8.51744877653882,4.91755134394354
"5","Summer","Cytophagia",0.476190476190476,0.824786098842322,0.476190476190476
"6","Summer","Flavobacteriia",0.343642611683849,0.595206463082088,0.343642611683849
"7","Summer","Neocallimastigomycetes",0.343642611683849,0.595206463082088,0.343642611683849
"8","Summer","Sphingobacteriia",0,0,0
"9","Summer","Unclassified",40.3693436137342,5.35293789024784,3.09052013188994
"10","Summer","Viruses",0,0,0
"11","Winter","Bacilli",0,0,0
"12","Winter","Bacteroidia",54.2642642642643,6.7262574911413,3.88340657314917
"13","Winter","Chitinophagia",0,0,0
"14","Winter","Clostridia",6.45645645645646,5.96389138338931,3.44325429561751
"15","Winter","Cytophagia",0,0,0
"16","Winter","Flavobacteriia",0,0,0
"17","Winter","Neocallimastigomycetes",0,0,0
"18","Winter","Sphingobacteriia",0,0,0
"19","Winter","Unclassified",39.2792792792793,1.24832490635595,0.72072072072072
"20","Winter","Viruses",0,0,0
"21","Spring","Bacilli",1.27554611792862,0.783320386696752,0.452250236121091
"22","Spring","Bacteroidia",45.917118343149,6.23414019910481,3.59928252211903
"23","Spring","Chitinophagia",0,0,0
"24","Spring","Clostridia",12.36019537452,5.14382928792526,2.96979122404913
"25","Spring","Cytophagia",0,0,0
"26","Spring","Flavobacteriia",0,0,0
"27","Spring","Neocallimastigomycetes",0,0,0
"28","Spring","Sphingobacteriia",0.245098039215686,0.424522256757078,0.245098039215686
"29","Spring","Unclassified",40.2020421251867,8.62848852730949,4.98166017394173
"30","Spring","Viruses",0,0,0
