"","Season","Family","Mean","SD","SE"
"1","Summer","Bacillaceae",0,0,0
"2","Summer","Bacteroidaceae",11.1133182650339,5.17264804076802,2.98642973876061
"3","Summer","Balneolaceae",0,0,0
"4","Summer","Barnesiellaceae",1.24590856298173,1.2203689191223,0.704580323965912
"5","Summer","Caldicoprobacteraceae",0.432900432900433,0.749805544402111,0.432900432900433
"6","Summer","Clostridiaceae",5.29019003595275,4.72493914005421,2.7279448844149
"7","Summer","Dysgonamonadaceae",1.81088031439416,0.578938778852489,0.334250459814798
"8","Summer","Eubacteriaceae",0.432900432900433,0.749805544402111,0.432900432900433
"9","Summer","Flavobacteriaceae",0.997872184312862,0.886599146632434,0.511878255971529
"10","Summer","Hymenobacteraceae",1.81088031439416,0.578938778852489,0.334250459814798
"11","Summer","Lachnospiraceae",3.80662468301989,1.32512840599092,0.765063241909678
"12","Summer","Marinilabiliaceae",1.24590856298173,1.2203689191223,0.704580323965912
"13","Summer","Muribaculaceae",14.3710774549964,4.57318035864026,2.64032691111366
"14","Summer","Neocallimastigaceae",0.432900432900433,0.749805544402111,0.432900432900433
"15","Summer","Paenibacillaceae",0.813008130081301,1.40817138826738,0.813008130081301
"16","Summer","Planococcaceae",0.564971751412429,0.978559778287501,0.564971751412429
"17","Summer","Prevotellaceae",10.1682388164406,4.03654734041207,2.33050169358358
"18","Summer","Prolixibacteraceae",0.432900432900433,0.749805544402111,0.432900432900433
"19","Summer","Rikenellaceae",0,0,0
"20","Summer","Ruminococcaceae",1.73160173160173,2.99922217760845,1.73160173160173
"21","Summer","Sphingobacteriaceae",0.813008130081301,1.40817138826738,0.813008130081301
"22","Summer","Spirochaetaceae",0,0,0
"23","Summer","Unclassified",42.4849093307134,7.64136989198901,4.41174696411735
"24","Summer","Viruses",0,0,0
"25","Winter","Bacillaceae",1.85185185185185,3.20750149549792,1.85185185185185
"26","Winter","Bacteroidaceae",16.2578162578163,10.7116334052312,6.18436442997084
"27","Winter","Balneolaceae",0,0,0
"28","Winter","Barnesiellaceae",3.03030303030303,5.24863881081478,3.03030303030303
"29","Winter","Caldicoprobacteraceae",0,0,0
"30","Winter","Clostridiaceae",0,0,0
"31","Winter","Dysgonamonadaceae",4.95430495430495,0.531826464345742,0.307050152352181
"32","Winter","Eubacteriaceae",0,0,0
"33","Winter","Flavobacteriaceae",0,0,0
"34","Winter","Hymenobacteraceae",0,0,0
"35","Winter","Lachnospiraceae",0,0,0
"36","Winter","Marinilabiliaceae",1.85185185185185,3.20750149549792,1.85185185185185
"37","Winter","Muribaculaceae",25.012025012025,17.9435261521374,10.3596996541476
"38","Winter","Neocallimastigaceae",0,0,0
"39","Winter","Paenibacillaceae",0,0,0
"40","Winter","Planococcaceae",0,0,0
"41","Winter","Prevotellaceae",5.02645502645503,4.78389982011247,2.76198584891814
"42","Winter","Prolixibacteraceae",0,0,0
"43","Winter","Rikenellaceae",1.58730158730159,2.74928699614108,1.58730158730159
"44","Winter","Ruminococcaceae",0,0,0
"45","Winter","Sphingobacteriaceae",1.85185185185185,3.20750149549792,1.85185185185185
"46","Winter","Spirochaetaceae",0,0,0
"47","Winter","Unclassified",38.5762385762386,15.9882562938684,9.23082407513766
"48","Winter","Viruses",0,0,0
"49","Spring","Bacillaceae",0,0,0
"50","Spring","Bacteroidaceae",11.0557813693951,7.50038246892086,4.33034783745661
"51","Spring","Balneolaceae",0.546448087431694,0.946475851130534,0.546448087431694
"52","Spring","Barnesiellaceae",1.02493798145972,1.09225151781373,0.630611707832534
"53","Spring","Caldicoprobacteraceae",0,0,0
"54","Spring","Clostridiaceae",9.5170366374928,9.18771980138988,5.3045325005713
"55","Spring","Dysgonamonadaceae",1.57138606889141,0.639221179112025,0.369054519832038
"56","Spring","Eubacteriaceae",0.846748387731994,0.821012651298281,0.474011875235151
"57","Spring","Flavobacteriaceae",0.546448087431694,0.946475851130534,0.546448087431694
"58","Spring","Hymenobacteraceae",0.3003003003003,0.520135377648312,0.3003003003003
"59","Spring","Lachnospiraceae",5.89962735365444,5.21240941288296,3.00938597765451
"60","Spring","Marinilabiliaceae",0,0,0
"61","Spring","Muribaculaceae",9.12608973906194,2.16641311696704,1.25077919625686
"62","Spring","Neocallimastigaceae",0,0,0
"63","Spring","Paenibacillaceae",0,0,0
"64","Spring","Planococcaceae",0,0,0
"65","Spring","Prevotellaceae",12.3406728182209,8.68645886092164,5.01512936165772
"66","Spring","Prolixibacteraceae",0,0,0
"67","Spring","Rikenellaceae",0,0,0
"68","Spring","Ruminococcaceae",1.44927536231884,2.51021856169402,1.44927536231884
"69","Spring","Sphingobacteriaceae",0,0,0
"70","Spring","Spirochaetaceae",0.3003003003003,0.520135377648312,0.3003003003003
"71","Spring","Unclassified",45.4749475063089,7.45660907541676,4.30507525693368
"72","Spring","Viruses",0,0,0
