"","Season","Class","Mean","SD","SE"
"1","Summer","Alphaproteobacteria",0.606060606060606,1.04972776216296,0.606060606060606
"2","Summer","Bacilli",2.04081632653061,3.5347975664671,2.04081632653061
"3","Summer","Bacteroidia",54.4692373263802,15.6316301080716,9.02492585076781
"4","Summer","Betaproteobacteria",0,0,0
"5","Summer","Chitinophagia",1.73678316535459,0.351866158519543,0.203150021339978
"6","Summer","Clostridia",14.2397499540357,12.3800061648637,7.14759989185331
"7","Summer","Mollicutes",0,0,0
"8","Summer","Opitutae",0,0,0
"9","Summer","Saprospiria",0,0,0
"10","Summer","Unclassified",26.9073526216383,2.32745909923461,1.34375913747095
"11","Summer","Viruses",0,0,0
"12","Winter","Alphaproteobacteria",0,0,0
"13","Winter","Bacilli",0,0,0
"14","Winter","Bacteroidia",65.4761904761905,4.75594865605671,2.74584823682638
"15","Winter","Betaproteobacteria",0,0,0
"16","Winter","Chitinophagia",0,0,0
"17","Winter","Clostridia",5.15873015873016,2.95788018310861,1.70773291994841
"18","Winter","Mollicutes",1.11111111111111,1.92450089729875,1.11111111111111
"19","Winter","Opitutae",0,0,0
"20","Winter","Saprospiria",0,0,0
"21","Winter","Unclassified",28.2539682539683,5.24530528312962,3.02837841719665
"22","Winter","Viruses",0,0,0
"23","Spring","Alphaproteobacteria",0.347222222222222,0.60140653040586,0.347222222222222
"24","Spring","Bacilli",1.68055555555556,2.07512270944618,1.19807265490026
"25","Spring","Bacteroidia",45.9455128205128,15.4278489084772,8.90727272032618
"26","Spring","Betaproteobacteria",0.333333333333333,0.577350269189626,0.333333333333333
"27","Spring","Chitinophagia",0.347222222222222,0.60140653040586,0.347222222222222
"28","Spring","Clostridia",16.5662393162393,9.26395462255401,5.34854669509204
"29","Spring","Mollicutes",0,0,0
"30","Spring","Opitutae",0.333333333333333,0.577350269189626,0.333333333333333
"31","Spring","Saprospiria",0.974358974358974,0.961794837615951,0.555292508402762
"32","Spring","Unclassified",33.4722222222222,7.68671894556762,4.43792925240846
"33","Spring","Viruses",0,0,0
