"","Season","Genus","Mean","SD","SE"
"1","Summer","Alistipes",12.6601368159204,4.62139032798772,2.66816094989405
"2","Summer","Alloprevotella",0,0,0
"3","Summer","Bacteroides",10.0217661691542,1.69063035577014,0.976085891004046
"4","Summer","Barnesiella",2.34919154228856,0.723178425728035,0.417527258766211
"5","Summer","Butyricimonas",0.9375,0.826797284707685,0.477351634891233
"6","Summer","Candidatus Amulumruptor",0.520833333333333,0.90210979560879,0.520833333333333
"7","Summer","Capnocytophaga",0,0,0
"8","Summer","Chitinophaga",0.520833333333333,0.90210979560879,0.520833333333333
"9","Summer","Chlamydia",0,0,0
"10","Summer","Desulfovibrio",0,0,0
"11","Summer","Dysgonomonas",0.9375,0.826797284707685,0.477351634891233
"12","Summer","Giardia",0,0,0
"13","Summer","Mailhella",1.93252487562189,0.924829604106891,0.533950620885649
"14","Summer","Mediterranea",0,0,0
"15","Summer","Odoribacter",2.97419154228856,1.71877584159408,0.992335694820967
"16","Summer","Paludibacter",0,0,0
"17","Summer","Parabacteroides",3.4717039800995,1.92691195460348,1.11250313569503
"18","Summer","Paraprevotella",1.43501243781095,0.16399968288532,0.0946852610608527
"19","Summer","Porphyromonas",0.520833333333333,0.90210979560879,0.520833333333333
"20","Summer","Prevotella",12.6026119402985,2.9029485043547,1.67601810043281
"21","Summer","Tannerella",0,0,0
"22","Summer","Unclassified",49.1153606965174,8.40528600661468,4.85279413853478
"23","Summer","Viruses",0,0,0
"24","Summer","Williamwhitmania",0,0,0
"25","Winter","Alistipes",13.0460335684216,1.08197224550089,0.624676967195645
"26","Winter","Alloprevotella",0,0,0
"27","Winter","Bacteroides",10.6040311264192,1.97671940043541,1.14125947795374
"28","Winter","Barnesiella",1.22100122100122,1.19164965176698,0.68799924722739
"29","Winter","Butyricimonas",0,0,0
"30","Winter","Candidatus Amulumruptor",0.497512437810945,0.861716819686009,0.497512437810945
"31","Winter","Capnocytophaga",0.427350427350427,0.740192652807212,0.427350427350427
"32","Winter","Chitinophaga",0,0,0
"33","Winter","Chlamydia",0.497512437810945,0.861716819686009,0.497512437810945
"34","Winter","Desulfovibrio",1.32168826198677,0.15488236870045,0.0894213772619316
"35","Winter","Dysgonomonas",0.924862865161373,0.807839453027374,0.466406325667354
"36","Winter","Giardia",0.427350427350427,0.740192652807212,0.427350427350427
"37","Winter","Mailhella",0,0,0
"38","Winter","Mediterranea",0,0,0
"39","Winter","Odoribacter",2.51216445246296,1.95117264415458,1.12651005133808
"40","Winter","Paludibacter",0.497512437810945,0.861716819686009,0.497512437810945
"41","Winter","Parabacteroides",1.71851365881217,0.583262280449164,0.33674663462548
"42","Winter","Paraprevotella",1.22100122100122,1.19164965176698,0.68799924722739
"43","Winter","Porphyromonas",0,0,0
"44","Winter","Prevotella",3.89490277549979,1.10757787851126,0.639460386306952
"45","Winter","Tannerella",0,0,0
"46","Winter","Unclassified",61.1885626811,1.95699473865475,1.129871439165
"47","Winter","Viruses",0,0,0
"48","Winter","Williamwhitmania",0,0,0
"49","Spring","Alistipes",11.0914910054078,5.00065703806229,2.88713068705026
"50","Spring","Alloprevotella",0.427350427350427,0.740192652807212,0.427350427350427
"51","Spring","Bacteroides",13.139952666495,2.22948804026956,1.28719552020468
"52","Spring","Barnesiella",0.813008130081301,1.40817138826738,0.813008130081301
"53","Spring","Butyricimonas",0,0,0
"54","Spring","Candidatus Amulumruptor",0,0,0
"55","Spring","Capnocytophaga",0,0,0
"56","Spring","Chitinophaga",0,0,0
"57","Spring","Chlamydia",0.427350427350427,0.740192652807212,0.427350427350427
"58","Spring","Desulfovibrio",0.40650406504065,0.70408569413369,0.40650406504065
"59","Spring","Dysgonomonas",1.06009883628248,0.990064768320915,0.571614160505245
"60","Spring","Giardia",0,0,0
"61","Spring","Mailhella",0,0,0
"62","Spring","Mediterranea",0.40650406504065,0.70408569413369,0.40650406504065
"63","Spring","Odoribacter",0,0,0
"64","Spring","Paludibacter",0,0,0
"65","Spring","Parabacteroides",3.62849329850765,1.95290132982503,1.12750810847526
"66","Spring","Paraprevotella",0.65359477124183,1.13205935135221,0.65359477124183
"67","Spring","Porphyromonas",0.40650406504065,0.70408569413369,0.40650406504065
"68","Spring","Prevotella",9.71256545144637,1.84804671845339,1.06697027037407
"69","Spring","Tannerella",0.40650406504065,0.70408569413369,0.40650406504065
"70","Spring","Unclassified",57.0135746606335,6.07966632788155,3.51009699098552
"71","Spring","Viruses",0,0,0
"72","Spring","Williamwhitmania",0.40650406504065,0.70408569413369,0.40650406504065
