"","Season","Species","Mean","SD","SE"
"1","Summer","[Bacteroides] pectinophilus",0.0279642058165548,0.0484354252675861,0.0279642058165548
"2","Summer","[Clostridium] fimetarium",0,0,0
"3","Summer","[Clostridium] innocuum",0,0,0
"4","Summer","[Clostridium] polysaccharolyticum",0,0,0
"5","Summer","[Eubacterium] cellulosolvens",0,0,0
"6","Summer","[Eubacterium] rectale",0.0860670493666841,0.0839771142933657,0.0484842095430427
"7","Summer","[Eubacterium] siraeum",0,0,0
"8","Summer","[Ruminococcus] gnavus",0.0301386377335744,0.0522016518254634,0.0301386377335744
"9","Summer","[Ruminococcus] torques",0.111245675059402,0.0973482115767336,0.0562040161589558
"10","Summer","Absiella sp. AM29-15",0,0,0
"11","Summer","Acetatifactor muris",0.0301386377335744,0.0522016518254634,0.0301386377335744
"12","Summer","Acinetobacter bereziniae",0.0301386377335744,0.0522016518254634,0.0301386377335744
"13","Summer","Actinobacillus pleuropneumoniae",0,0,0
"14","Summer","Adlercreutzia sp. ZJ138",0.0811070373258272,0.0768764679910613,0.0443846494889869
"15","Summer","Adlercreutzia sp. ZJ242",0,0,0
"16","Summer","Agathobaculum desmolans",0.0279642058165548,0.0484354252675861,0.0279642058165548
"17","Summer","Aggregatibacter segnis",0.0301386377335744,0.0522016518254634,0.0301386377335744
"18","Summer","Akkermansia glycaniphila",0.116205687100259,0.100848275509739,0.0582247790128572
"19","Summer","Akkermansia muciniphila",0.851740183280378,0.202292064041957,0.116793377629549
"20","Summer","Alcanivorax profundi",0.0301386377335744,0.0522016518254634,0.0301386377335744
"21","Summer","Alistipes communis",0.0602772754671489,0.104403303650927,0.0602772754671489
"22","Summer","Alistipes ihumii",0,0,0
"23","Summer","Alistipes megaguti",0.0811070373258272,0.0768764679910613,0.0443846494889869
"24","Summer","Alistipes provencensis",0.0509683995922528,0.0882798576742547,0.0509683995922528
"25","Summer","Alistipes putredinis",0.0279642058165548,0.0484354252675861,0.0279642058165548
"26","Summer","Alistipes senegalensis",0.0279642058165548,0.0484354252675861,0.0279642058165548
"27","Summer","Alistipes shahii",0.0301386377335744,0.0522016518254634,0.0301386377335744
"28","Summer","Alistipes sp. An116",0.0559284116331096,0.0968708505351721,0.0559284116331096
"29","Summer","Alistipes sp. An31A",0.0301386377335744,0.0522016518254634,0.0301386377335744
"30","Summer","Alistipes sp. An66",0.0602772754671489,0.104403303650927,0.0602772754671489
"31","Summer","Alistipes sp. CAG:268",0.197312724426086,0.0644604042848639,0.0372162317659383
"32","Summer","Alistipes sp. CHKCI003",0.0581028435501293,0.0504241377548694,0.0291123895064286
"33","Summer","Alistipes sp. Marseille-P5061",0.0581028435501293,0.0504241377548694,0.0291123895064286
"34","Summer","Alistipes sp. Z76",0.0279642058165548,0.0484354252675861,0.0279642058165548
"35","Summer","Alistipes timonensis",0.331562593261185,0.214514153177555,0.123849804082046
"36","Summer","Alloprevotella rava",0,0,0
"37","Summer","Alloprevotella sp.",0,0,0
"38","Summer","Alloprevotella sp. E39",0.0581028435501293,0.0504241377548694,0.0291123895064286
"39","Summer","Alloprevotella tannerae",0,0,0
"40","Summer","Alysiella crassa",0,0,0
"41","Summer","Anaerobium acetethylicum",0,0,0
"42","Summer","Anaerobutyricum hallii",0,0,0
"43","Summer","Anaerococcus hydrogenalis",0.0279642058165548,0.0484354252675861,0.0279642058165548
"44","Summer","Anaerococcus sp. Marseille-P3915",0,0,0
"45","Summer","Anaerocolumna xylanovorans",0,0,0
"46","Summer","Anaerospora hongkongensis",0,0,0
"47","Summer","Anaerostipes caccae",0.0279642058165548,0.0484354252675861,0.0279642058165548
"48","Summer","Anaerostipes hadrus",0,0,0
"49","Summer","Anaerotignum neopropionicum",0,0,0
"50","Summer","Anaerotignum propionicum",0.0279642058165548,0.0484354252675861,0.0279642058165548
"51","Summer","Anaerotruncus sp. X29",0,0,0
"52","Summer","Anditalea andensis",0.0279642058165548,0.0484354252675861,0.0279642058165548
"53","Summer","Angelakisella massiliensis",0,0,0
"54","Summer","Aquabacterium fontiphilum",0,0,0
"55","Summer","Aquabacterium sp.",0.0811070373258272,0.0768764679910613,0.0443846494889869
"56","Summer","Ardenticatena maritima",0,0,0
"57","Summer","Azospirillum sp. CAG:239",0.0301386377335744,0.0522016518254634,0.0301386377335744
"58","Summer","Bacillus alkalitelluris",0.0279642058165548,0.0484354252675861,0.0279642058165548
"59","Summer","Bacillus cihuensis",0.0301386377335744,0.0522016518254634,0.0301386377335744
"60","Summer","Bacillus coagulans",0,0,0
"61","Summer","Bacillus endophyticus",0.0301386377335744,0.0522016518254634,0.0301386377335744
"62","Summer","Bacillus megaterium",0.0904159132007233,0.15660495547639,0.0904159132007233
"63","Summer","Bacillus okhensis",0.0279642058165548,0.0484354252675861,0.0279642058165548
"64","Summer","Bacillus simplex",0.0559284116331096,0.0968708505351721,0.0559284116331096
"65","Summer","Bacillus sp. 7884-1",0.0279642058165548,0.0484354252675861,0.0279642058165548
"66","Summer","Bacillus sp. REN51N",0,0,0
"67","Summer","Bacillus sp. URHB0009",0.0811070373258272,0.0768764679910613,0.0443846494889869
"68","Summer","Bacillus sp. X1(2014)",0,0,0
"69","Summer","Bacillus vietnamensis",0,0,0
"70","Summer","bacterium 0.1xD8-71",0,0,0
"71","Summer","bacterium 0.1xD8-82",0.0882414812837037,0.0904943192825163,0.0522469195978927
"72","Summer","bacterium 1XD21-13",0.0581028435501293,0.0504241377548694,0.0291123895064286
"73","Summer","bacterium 1xD42-62",0.0602772754671489,0.104403303650927,0.0602772754671489
"74","Summer","bacterium 1xD42-67",0,0,0
"75","Summer","bacterium 1XD42-8",0.0301386377335744,0.0522016518254634,0.0301386377335744
"76","Summer","bacterium 1xD42-87",0,0,0
"77","Summer","bacterium 1XD8-76",0.0602772754671489,0.104403303650927,0.0602772754671489
"78","Summer","bacterium D16-29",0,0,0
"79","Summer","bacterium D16-50",0,0,0
"80","Summer","bacterium TMED46",0.0279642058165548,0.0484354252675861,0.0279642058165548
"81","Summer","Bacteroidaceae bacterium",0,0,0
"82","Summer","Bacteroidales bacterium",0.332173741468003,0.0775449337238259,0.0447705883597425
"83","Summer","Bacteroidales bacterium 43_8",0,0,0
"84","Summer","Bacteroidales bacterium 45-6",0.0279642058165548,0.0484354252675861,0.0279642058165548
"85","Summer","Bacteroidales bacterium 52_46",0.195138292509066,0.0509167507092855,0.0293967997282671
"86","Summer","Bacteroidales bacterium St1",0.111245675059402,0.0973482115767336,0.0562040161589558
"87","Summer","Bacteroides acidifaciens",0.384705424770458,0.334952646221112,0.193385000461537
"88","Summer","Bacteroides caccae",0,0,0
"89","Summer","Bacteroides caccae CAG:21",0,0,0
"90","Summer","Bacteroides caecimuris",0,0,0
"91","Summer","Bacteroides cellulosilyticus",0.215968054367744,0.112049490076027,0.0646918032579544
"92","Summer","Bacteroides clarus",0.137035448958937,0.0410534980785531,0.0237022481668284
"93","Summer","Bacteroides congonensis",0.433499392445691,0.34069688201701,0.196701436544587
"94","Summer","Bacteroides coprophilus",0.0279642058165548,0.0484354252675861,0.0279642058165548
"95","Summer","Bacteroides dorei",0.32007928546927,0.252566609568358,0.145819400022603
"96","Summer","Bacteroides eggerthii",0.0509683995922528,0.0882798576742547,0.0509683995922528
"97","Summer","Bacteroides faecichinchillae",0,0,0
"98","Summer","Bacteroides faecis",0.0811070373258272,0.0768764679910613,0.0443846494889869
"99","Summer","Bacteroides finegoldii",0.0279642058165548,0.0484354252675861,0.0279642058165548
