"","Season","Genus","Mean","SD","SE"
"1","Summer","Abditibacterium",0,0,0
"2","Summer","Abiotrophia",0,0,0
"3","Summer","Absicoccus",0.00257296011148079,0.00188844861514567,0.00109029631630513
"4","Summer","Absidia",0.000270452024379355,0.000240410543181372,0.000138801091821789
"5","Summer","Absiella",0.00794214795955022,0.00523920869548394,0.00302485855067828
"6","Summer","Abyssibacter",0,0,0
"7","Summer","Abyssicoccus",0.000113772243895835,0.000197059306918704,0.000113772243895835
"8","Summer","Abyssisolibacter",0.000575627021775359,0.00052371099174265,0.000302364682060185
"9","Summer","Acanthamoeba",0.00111794983180892,0.00115104323608026,0.000664555122199834
"10","Summer","Acaricomes",0.000113772243895835,0.000197059306918704,0.000113772243895835
"11","Summer","Acaromyces",0.00111794983180892,0.00115104323608026,0.000664555122199834
"12","Summer","Acaryochloris",0.000117155145043927,0.000202918663584183,0.000117155145043927
"13","Summer","Acetanaerobacterium",0.00506490681220915,0.00344014123277515,0.00198616646679307
"14","Summer","Acetatifactor",0.0703001410005401,0.0485723838780316,0.0280432789071634
"15","Summer","Acetitomaculum",0.00419763639763016,0.00212797419839022,0.00122858647626917
"16","Summer","Acetivibrio",0.0218549070241314,0.00908403506534302,0.00524467009030379
"17","Summer","Acetoanaerobium",0.000579009922923451,0.000534781516892296,0.000308756252735404
"18","Summer","Acetobacter",0.18311437928939,0.20414087751088,0.117860790583513
"19","Summer","Acetobacterium",0.00727286988396579,0.00596315838885719,0.00344283110102707
"20","Summer","Acetobacteroides",0.00245187668669038,0.000938252376960958,0.000541700262406215
"21","Summer","Acetohalobium",0.000117155145043927,0.000202918663584183,0.000117155145043927
"22","Summer","Acetomicrobium",0.000696165067967379,0.000703028546085879,0.000405893720330673
"23","Summer","Acetonema",0.000690818026946044,0.000596586546401175,0.000344439403159628
"24","Summer","Achlya",0,0,0
"25","Summer","Acholeplasma",0.0235383801826562,0.0211220909634041,0.0121948449035691
"26","Summer","Achromatium",0,0,0
"27","Summer","Achromobacter",0.000227544487791669,0.000394118613837407,0.000227544487791669
"28","Summer","Acidaminobacter",0.00141832316678198,0.000964723605825665,0.000556983433517034
"29","Summer","Acidaminococcus",0.0180585611877932,0.00458810716660573,0.00264894490771067
"30","Summer","Acidibacillus",0.000725540999962693,0.000556665026930486,0.000321390703146766
"31","Summer","Acidibrevibacterium",0.000117155145043927,0.000202918663584183,0.000117155145043927
"32","Summer","Acidiferrobacter",0,0,0
"33","Summer","Acidihalobacter",0.000153296879335427,0.000265517983650716,0.000153296879335427
"34","Summer","Acidimangrovimonas",0,0,0
"35","Summer","Acidiphilium",0.0128847043729704,0.00700440916440793,0.0040439975165852
"36","Summer","Acidipila",0,0,0
"37","Summer","Acidipropionibacterium",0.000113772243895835,0.000197059306918704,0.000113772243895835
"38","Summer","Acidisarcina",0,0,0
"39","Summer","Acidisoma",0,0,0
"40","Summer","Acidisphaera",0,0,0
"41","Summer","Acidithiobacillus",0.000270452024379355,0.000240410543181372,0.000138801091821789
"42","Summer","Acidithrix",0,0,0
"43","Summer","Acidobacterium",0.000270452024379355,0.000240410543181372,0.000138801091821789
"44","Summer","Acidocella",0.000117155145043927,0.000202918663584183,0.000117155145043927
"45","Summer","Acidomonas",0,0,0
"46","Summer","Acidovorax",0.000882220780446213,0.000163772539957056,9.45541200300751e-05
"47","Summer","Aciduliprofundum",0,0,0
"48","Summer","Acinetobacter",0.0118356795381219,0.00952900991590864,0.00550157644006047
"49","Summer","Acremonium",0,0,0
"50","Summer","Acrocarpospora",0,0,0
"51","Summer","Actibacterium",0,0,0
"52","Summer","Actinoallomurus",0,0,0
"53","Summer","Actinobacillus",0.000501379413319117,0.000184342575554986,0.00010643023561978
"54","Summer","Actinobaculum",0.000230927388939762,0.000200053351052418,0.0001155008560824
"55","Summer","Actinokineospora",0.000113772243895835,0.000197059306918704,0.000113772243895835
"56","Summer","Actinomadura",0.000615151657214951,0.000134842442301695,7.78513203610703e-05
"57","Summer","Actinomyces",0.00276239872510772,0.00135873606824706,0.000784466634760096
"58","Summer","Actinomycetospora",0,0,0
"59","Summer","Actinophytocola",0,0,0
"60","Summer","Actinoplanes",0.000227544487791669,0.000394118613837407,0.000227544487791669
"61","Summer","Actinopolymorpha",0,0,0
"62","Summer","Actinopolyspora",0,0,0
"63","Summer","Actinotalea",0.000153296879335427,0.000265517983650716,0.000153296879335427
"64","Summer","Actinotignum",0.000153296879335427,0.000265517983650716,0.000153296879335427
"65","Summer","Acutalibacter",0.0392351321900926,0.0180297790078097,0.0104094977635884
"66","Summer","Acuticoccus",0,0,0
"67","Summer","Acytostelium",0.000153296879335427,0.000265517983650716,0.000153296879335427
"68","Summer","Adhaeribacter",0.00173168272774902,0.00036520777658135,0.000210852808119387
"69","Summer","Adlercreutzia",0.387382228277671,0.200573298238535,0.115801047730269
"70","Summer","Advenella",0.000306593758670855,0.000531035967301431,0.000306593758670855
"71","Summer","Aequorivita",0.00115070866495233,0.00139312815813241,0.000804322917113397
"72","Summer","Aeriscardovia",0.000117155145043927,0.000202918663584183,0.000117155145043927
"73","Summer","Aerococcus",0.00118739577784222,0.00080231564110356,0.000463217151366188
"74","Summer","Aeromicrobium",0,0,0
"75","Summer","Aeromonas",0.000344699632835597,0.00034136702153309,0.00019708834177459
"76","Summer","Aerosticca",0.000153296879335427,0.000265517983650716,0.000153296879335427
"77","Summer","Aestuariimicrobium",0,0,0
"78","Summer","Aestuariispira",0.000117155145043927,0.000202918663584183,0.000117155145043927
"79","Summer","Aestuariivirga",0.000117155145043927,0.000202918663584183,0.000117155145043927
"80","Summer","Afifella",0,0,0
"81","Summer","Afipia",0.000113772243895835,0.000197059306918704,0.000113772243895835
"82","Summer","Agarilytica",0.000153296879335427,0.000265517983650716,0.000153296879335427
"83","Summer","Agarivorans",0,0,0
"84","Summer","Agathobacter",0.00611592021645641,0.00410200251672939,0.00236829225725024
"85","Summer","Agathobaculum",0.0520800623883162,0.0686396616409063,0.0396291271254621
"86","Summer","Aggregatibacter",0.000540904048758709,0.000480821086362744,0.000277602183643579
"87","Summer","Aggregicoccus",0,0,0
"88","Summer","Agitococcus",0.000113772243895835,0.000197059306918704,0.000113772243895835
"89","Summer","Agreia",0,0,0
"90","Summer","Agrobacterium",0.000348082533983689,0.000351514273042939,0.000202946860165337
"91","Summer","Agrococcus",0.000230927388939762,0.000200053351052418,0.0001155008560824
"92","Summer","Agrocybe",0.000153296879335427,0.000265517983650716,0.000153296879335427
"93","Summer","Agromyces",0.000534138246462524,0.000477532743390691,0.000275703657943476
"94","Summer","Ahniella",0.000270452024379355,0.000240410543181372,0.000138801091821789
"95","Summer","Ahrensia",0,0,0
"96","Summer","Aidingimonas",0,0,0
"97","Summer","Akkermansia",0.0662973635800637,0.0500976457831216,0.0289238892786518
"98","Summer","Albidovulum",0.000153296879335427,0.000265517983650716,0.000153296879335427
"99","Summer","Albugo",0.000306593758670855,0.000531035967301431,0.000306593758670855
