------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                          Marker lineage             # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  3772.job2.output.5           k__Bacteria (UID203)             5449        103            57         0     8    27   43   25   0       100.00          183.66             19.28          
  3772.job2.output.29          k__Bacteria (UID203)             5449         98            58         0     13   38   43   4    0       100.00          129.25             21.99          
  3772.job2.output.14     f__Mycoplasmataceae (UID2414)          89         228           130         0    226   2    0    0    0       100.00           0.49               0.00          
  3772.job2.output.46       o__Bacteroidales (UID2621)          198         427           260         2    422   3    0    0    0       99.42            0.71               0.00          
  3772.job2.output.24       o__Bacteroidales (UID2657)          160         492           269         7    483   2    0    0    0       97.77            0.56               0.00          
  3772.job2.output.19    c__Deltaproteobacteria (UID3218)        61         284           169         4    280   0    0    0    0       97.63            0.00               0.00          
  3772.job2.output.8    c__Epsilonproteobacteria (UID3066)      110         450           273         13   434   3    0    0    0       97.50            0.42              33.33          
  3772.job2.output.32         k__Bacteria (UID2982)              88         229           147         4    225   0    0    0    0       97.28            0.00               0.00          
  3772.job2.output.9        o__Bacteroidales (UID2657)          160         492           269         17   475   0    0    0    0       96.77            0.00               0.00          
  3772.job2.output.18       o__Bacteroidales (UID2617)          213         406           265         17   388   1    0    0    0       95.85            0.38               0.00          
  3772.job2.output.30         k__Bacteria (UID2495)             2993        143            89         4    139   0    0    0    0       95.51            0.00               0.00          
  3772.job2.output.28       o__Clostridiales (UID1212)          172         263           149         41   218   4    0    0    0       95.30            2.35               0.00          
  3772.job2.output.2        o__Clostridiales (UID1212)          172         263           149         8    255   0    0    0    0       95.30            0.00               0.00          
  3772.job2.output.37        c__Clostridia (UID1118)            387         223           124         9    212   2    0    0    0       95.28            1.08               0.00          
  3772.job2.output.22         k__Bacteria (UID2569)             434         278           186         41   234   2    1    0    0       94.09            1.61               0.00          
  3772.job2.output.20        g__Bacteroides (UID2691)            33         839           309         37   794   8    0    0    0       93.56            0.59              37.50          
  3772.job2.output.27         k__Bacteria (UID2329)             174         149            89         7    140   2    0    0    0       92.70            1.69               0.00          
  3772.job2.output.45      p__Proteobacteria (UID3887)          1487        256           160         18   231   6    1    0    0       92.56            3.02              11.11          
  3772.job2.output.23         k__Bacteria (UID2982)              88         230           148         13   215   2    0    0    0       92.23            0.71               0.00          
  3772.job2.output.44         k__Bacteria (UID1453)             901         171           117         13   153   5    0    0    0       90.60            2.56               0.00          
  3772.job2.output.40       o__Clostridiales (UID1212)          172         257           149         18   238   1    0    0    0       90.47            0.67               0.00          
  3772.job2.output.41         k__Bacteria (UID2569)             434         278           186         68   210   0    0    0    0       90.32            0.00               0.00          
  3772.job2.output.17       o__Bacteroidales (UID2621)          198         427           260         55   362   10   0    0    0       89.81            1.61               0.00          
  3772.job2.output.25       o__Bacteroidales (UID2617)          213         406           265         40   322   41   3    0    0       88.93           13.02               0.00          
  3772.job2.output.16          k__Bacteria (UID203)             5449        104            58         15    48   35   6    0    0       88.71           34.15              16.98          
  3772.job2.output.26         k__Bacteria (UID1453)             901         171           117         16   151   4    0    0    0       88.18            2.56               0.00          
  3772.job2.output.34       p__Bacteroidetes (UID2605)          350         314           208         74   239   1    0    0    0       86.35            0.48               0.00          
  3772.job2.output.33       p__Bacteroidetes (UID2605)          350         314           208         49   261   4    0    0    0       84.17            1.46               0.00          
  3772.job2.output.39       o__Bacteroidales (UID2617)          213         406           265         86   313   7    0    0    0       76.44            2.45               0.00          
  3772.job2.output.43       o__Bacteroidales (UID2617)          213         406           265         83   323   0    0    0    0       75.91            0.00               0.00          
  3772.job2.output.4          k__Bacteria (UID2329)             174         149            89         46    72   29   2    0    0       71.40           25.77               2.86          
  3772.job2.output.10       o__Clostridiales (UID1212)          172         263           149         89   173   1    0    0    0       66.52            0.02               0.00          
  3772.job2.output.6           k__Bacteria (UID203)             5449        104            58         71    33   0    0    0    0       47.41            0.00               0.00          
  3772.job2.output.31         k__Bacteria (UID2495)             2993        143            89         86    57   0    0    0    0       44.79            0.00               0.00          
  3772.job2.output.13         k__Bacteria (UID2982)              88         229           147        156    70   3    0    0    0       28.41            1.40               0.00          
  3772.job2.output.42          k__Bacteria (UID203)             5449        104            58         91    12   1    0    0    0       20.69            1.72              100.00         
  3772.job2.output.38          k__Bacteria (UID203)             5449        104            58         91    13   0    0    0    0       20.69            0.00               0.00          
  3772.job2.output.36          k__Bacteria (UID203)             5449        104            58         92    12   0    0    0    0       18.97            0.00               0.00          
  3772.job2.output.15          k__Bacteria (UID203)             5449        104            58         89    14   1    0    0    0       17.40            1.72               0.00          
  3772.job2.output.21       o__Bacteroidales (UID2657)          160         492           269        369   122   1    0    0    0       17.09            0.01               0.00          
  3772.job2.output.3           k__Bacteria (UID203)             5449        104            58        100    4    0    0    0    0        6.90            0.00               0.00          
  3772.job2.output.11          k__Bacteria (UID203)             5449        104            58         93    11   0    0    0    0        2.66            0.00               0.00          
  3772.job2.output.35          k__Bacteria (UID203)             5449        104            58        102    1    1    0    0    0        0.31            0.16               0.00          
  3772.job2.output.7               root (UID1)                  5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  3772.job2.output.12              root (UID1)                  5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  3772.job2.output.1               root (UID1)                  5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
